"distance";"avgPowerSender";"avgPowerReceiver"
10;0.156300003703704;0.0776657555555555
15;0.15630745;0.0776695574074074
20;0.156307162962963;0.0776694185185185
25;0.156299714814815;0.0776657555555555
30;0.15632005;0.0776758962962963
35;0.15629685;0.0776643481481482
40;0.156313753703704;0.0776726592592593
45;0.156296564814815;0.0776642074074074
50;0.156309742592593;0.0776705444444444
55;0.156313175925926;0.0776723722222221
60;0.156321198148148;0.0776763166666666
65;0.156312605555556;0.0776720925925927
70;0.156291694444445;0.0776618129629631
75;0.156317188888889;0.0776738703703704
80;0.156348985185185;0.077680612962963
85;0.156914014814815;0.0778556074074075
90;0.16145042037037;0.0792476685185184
95;0.185460838888889;0.0866240648148147
100;0.196311535185185;0.0899741148148147
105;0.209685285416667;0.0940918520833333
110;0.243185726666667;0.104442906666667
115;0.240662701851851;0.10368512037037
120;0.239953533333333;0.103467314814815
125;0.239962364814815;0.103470725925926
130;0.239968505555556;0.103473268518519
