lhsRule;rhsRule;interaction;reason
Rmod-w;R-e,h,2;cr;w32 modified, LHS match destroyed
R-e,h,1;R-e,h,2;cr;s(e31)=U, LHS match destroyed
R-e,h,2;R-e,h,2;cm;s(e12)=U, LHS match destroyed
Rmod-w,h,1;R-e,h,2;cr;w31 modified, LHS match destroyed
#   Rmod-w,h,2;R-e,h,2;w12 modified, LHS match destroyed,   SINGLE_CE
R+e;R-e,h,2;cr;e34 created, NAC violated
R+e;R-e,h,2;cr;e42 created, NAC violated
Rmod-w;R-e,h,2;cr;w34 modified, NAC violated
Rmod-w;R-e,h,2;cr;w42 modified, NAC violated
# ---
# Dependencies to R-e,h,2
# ---
Ri;R-e,h,2;dr;s(e32)=I, LHS match created
R-e;R-e,h,2;dr;e34 gone, NAC fulfilled
R-e;R-e,h,2;dr;e42 gone, NAC fulfilled
Rmod-w;R-e,h,2;cr;w34 modified, NAC fulfilled
Rmod-w;R-e,h,2;cr;w42 modified, NAC fulfilled
#
