cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
300;251;8;1;D_KTC;I;1.41;0.0;1;1.000;0.08;251;0;251;25360;101.0;1;1;251.00;251;25360;1.42;4.00;2528.00;25360;750;24610;25360;0;25360;999.00;25611;25360;25360;25360;0;251;0;25360;0;0;0;0;157.00;4070102109.38;39240702.02;1000000000000.00;66.58;30.19;100.00;0;16.00;936.00;16739.41;259564.03;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;2;2.000;3.54;251;0;251;29310;116.8;1;1;251.00;251;29310;1.60;4.00;705.00;9356;608;8748;9356;0;9356;192764.00;99448;9356;9356;9356;0;0;0;7206;3256;22104;0;22104;97.00;4069822461.74;38663725.90;999997124430.94;66.38;29.74;100.00;0;671.00;1092.00;16742.90;259620.49;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;3;3.000;7.26;251;0;251;29256;116.6;1;1;251.00;251;29256;1.62;4.00;639.00;8284;674;7610;8284;0;8284;209630.00;103937;8290;8290;8290;0;0;0;5634;5688;23060;0;23060;110.00;4069486693.13;37671700.33;999992744448.33;66.13;28.98;100.00;0;640.00;1061.00;16749.81;259729.20;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;4;4.000;11.41;251;0;251;31774;126.6;1;1;251.00;251;31774;1.84;5.00;736.00;9436;628;8808;9436;0;9436;233170.00;106884;9436;9436;9436;0;0;0;7070;4552;23717;0;23717;79.00;4069145743.42;37465247.35;999990212003.49;65.88;28.82;100.00;0;765.00;1248.00;16751.94;259765.81;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;5;5.000;16.06;251;0;251;31550;125.7;1;1;251.00;251;31550;1.98;6.00;672.00;8076;646;7430;8076;0;8076;263202.00;109588;8078;8078;8078;0;0;0;5494;5718;24508;0;24508;80.00;4068799725.98;37016314.73;999988631358.85;65.61;28.47;100.00;0;827.00;1372.00;16751.82;259765.81;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;6;6.000;20.57;251;0;251;31218;124.4;1;1;251.00;251;31218;1.99;5.00;625.00;7532;640;6892;7532;0;7532;254686.00;107845;7532;7532;7532;0;0;0;5062;5394;24257;0;24257;79.00;4068449905.33;36135727.32;999987852051.88;65.35;27.80;100.00;0;764.00;1185.00;16751.72;259765.82;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;7;7.000;24.90;251;0;251;31494;125.5;1;1;251.00;251;31494;2.10;6.00;734.00;7882;662;7220;7882;0;7882;242683.00;107498;7882;7882;7882;0;0;0;5294;5018;24203;0;24203;79.00;4068100539.31;35820462.26;999987075450.45;65.08;27.55;100.00;0;811.00;1295.00;16751.59;259765.83;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;8;8.000;29.39;251;0;251;31212;124.4;1;1;251.00;251;31212;2.21;6.00;672.00;7794;660;7134;7794;0;7794;252846.00;107086;7796;7796;7796;0;0;0;5328;5610;23941;0;23941;80.00;4067748082.09;35500487.64;999986332114.88;64.81;27.31;100.00;0;780.00;1232.00;16750.82;259765.88;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;9;9.000;33.64;251;0;251;30852;122.9;1;1;251.00;251;30852;2.15;6.00;657.00;7812;654;7158;7812;0;7812;237574.00;105617;7812;7812;7812;0;0;0;5210;5570;23614;0;23614;63.00;4067393549.09;35200057.97;999985791005.05;64.54;27.08;100.00;0;748.00;1185.00;16760.76;259935.61;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;8;1;D_KTC;I;1.41;0.0;10;10.000;35.78;251;0;251;30852;122.9;1;1;251.00;251;30852;2.15;6.00;1.00;0;0;0;0;0;0;112432.00;39470;0;0;0;0;0;0;0;0;9861;0;9861;79.00;4067038067.32;34899273.04;999985414804.01;64.27;26.85;100.00;0;1186.00;1201.00;16759.51;259935.69;-1.00;-1.00;-1.00;-1.00;-1.00
