cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
600;101;3;1;D_KTC;B;1.41;0.0;1;1.000;0.00;101;0;101;1156;11.4;1;1;101.00;101;1156;1.34;10.00;94.00;1156;266;890;1156;0;1156;117.00;1257;1156;1156;1156;0;101;0;1156;0;0;0;0;33.00;9984135681.08;41111997.66;1000000000000.00;64.95;31.62;100.00;0;1.00;11.00;41539.86;413875.38;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;2;2.000;0.06;101;0;101;1206;11.9;1;1;101.00;101;1206;1.37;6.00;52.00;1206;268;938;1206;0;1206;74.00;4330;364;364;364;0;0;0;344;294;862;0;862;19.00;9983756078.02;38659124.72;999997909653.68;64.67;29.74;100.00;0;0.00;6.00;41082.11;409318.46;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;3;3.000;0.12;101;0;101;1222;12.1;1;1;101.00;101;1222;1.35;6.00;24.00;1222;264;958;1222;0;1222;39.00;4201;334;334;334;0;0;0;322;306;853;0;853;16.00;9983181666.84;36202890.98;999993824339.10;64.26;27.85;100.00;0;0.00;5.00;41501.54;413580.54;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;4;4.000;0.17;101;0;101;1280;12.7;1;1;101.00;101;1280;1.39;6.00;21.00;1280;270;1010;1280;0;1280;42.00;4246;378;378;378;0;0;0;366;308;853;0;853;11.00;9982596704.87;35951484.84;999989555882.44;63.84;27.65;100.00;0;0.00;5.00;41607.79;414618.26;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;5;5.000;0.22;101;0;101;1312;13.0;1;1;101.00;101;1312;1.43;5.00;20.00;1312;260;1052;1312;0;1312;32.00;4369;358;358;358;0;0;0;350;318;883;0;883;9.00;9982057825.72;34624229.69;999985611711.85;63.46;26.63;100.00;0;0.00;4.00;41270.91;411264.92;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;6;6.000;0.27;101;0;101;1278;12.7;1;1;101.00;101;1278;1.51;8.00;19.00;1278;282;996;1278;0;1278;28.00;4442;332;332;332;0;0;0;322;356;897;0;897;9.00;9981547691.50;33351813.95;999981879249.44;63.10;25.66;100.00;0;0.00;4.00;41536.13;413943.08;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;7;7.000;0.33;101;0;101;1240;12.3;2;1;101.00;101;1240;NaN;NaN;20.00;1240;280;960;1240;0;1240;28.00;4248;318;318;318;0;0;0;304;342;860;0;860;7.00;9980975090.12;32933235.96;999978341143.44;62.68;25.33;100.00;0;0.00;4.00;41494.62;413513.78;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;8;8.000;0.38;101;0;101;1252;12.4;1;1;101.00;101;1252;1.38;5.00;17.00;1252;266;986;1252;0;1252;26.00;4198;302;302;302;0;0;0;298;286;865;0;865;8.00;9980374537.45;32483814.90;999974828359.24;62.25;24.99;100.00;0;0.00;4.00;41384.53;412463.10;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;9;9.000;0.43;101;0;101;1282;12.7;1;1;101.00;101;1282;1.52;6.00;16.00;1282;278;1004;1282;0;1282;27.00;4266;350;350;350;0;0;0;344;314;860;0;860;8.00;9979824284.33;32247922.53;999971168746.52;61.85;24.81;100.00;0;0.00;4.00;41331.40;411912.80;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;10;10.000;0.49;101;0;101;1320;13.1;1;1;101.00;101;1320;1.38;5.00;32.00;1320;274;1046;1320;0;1320;40.00;4431;342;342;342;0;0;0;330;292;910;0;910;8.00;9979235083.06;32063370.00;999967523761.87;61.43;24.66;100.00;0;0.00;4.00;41483.16;413494.63;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;11;11.000;0.55;101;0;101;1368;13.5;2;1;101.00;101;1368;NaN;NaN;18.00;1368;268;1100;1368;0;1368;25.00;4583;362;362;362;0;0;0;352;304;939;0;939;7.00;9978600042.19;31803221.93;999964035283.73;60.96;24.46;100.00;0;0.00;5.00;41425.00;412951.12;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;12;12.000;0.60;101;0;101;1394;13.8;2;2;98.00;101;1394;NaN;NaN;27.00;1394;256;1138;1394;0;1394;29.00;4641;376;376;376;0;0;0;368;342;938;0;938;9.00;9978048789.45;31512748.69;999960966754.39;60.56;24.24;100.00;0;0.00;8.00;41237.98;411047.30;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;13;13.000;0.65;101;0;101;1360;13.5;1;1;101.00;101;1360;1.62;6.00;17.00;1360;270;1090;1360;0;1360;24.00;4636;348;348;348;0;0;0;344;378;932;0;932;7.00;9977524208.57;30980690.87;999957768971.80;60.18;23.83;100.00;0;0.00;5.00;41237.03;411069.41;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;14;14.000;0.71;101;0;101;1286;12.7;1;1;101.00;101;1286;1.53;6.00;17.00;1286;276;1010;1286;0;1286;22.00;4335;304;304;304;0;0;0;294;368;878;0;878;7.00;9976959648.06;30502606.52;999954418072.81;59.78;23.46;100.00;0;0.00;4.00;41450.62;413216.12;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;15;15.000;0.75;101;0;101;1286;12.7;2;1;101.00;101;1286;NaN;NaN;17.00;1286;276;1010;1286;0;1286;4.00;1076;0;0;0;0;0;0;0;0;265;0;265;7.00;9976418341.70;30311007.64;999951296094.26;59.38;23.32;100.00;0;0.00;4.00;41447.82;413216.40;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;16;16.000;0.80;101;0;101;1314;13.0;2;1;101.00;101;1314;NaN;NaN;19.00;1314;276;1038;1314;0;1314;27.00;4119;504;504;504;0;0;0;494;466;743;0;743;12.00;9975946608.53;30129665.37;999948237098.76;59.04;23.18;99.99;0;0.00;4.00;41102.34;409745.12;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;17;17.000;0.85;101;0;101;1314;13.0;2;1;101.00;101;1314;NaN;NaN;18.00;1314;276;1038;1314;0;1314;5.00;1200;0;0;0;0;0;0;0;0;296;0;296;6.00;9975442867.07;28864397.39;999945179559.57;58.68;22.20;99.99;0;0.00;5.00;41100.05;409745.35;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;18;18.000;0.90;101;0;101;1314;13.0;2;1;101.00;101;1314;NaN;NaN;19.00;1314;276;1038;1314;0;1314;4.00;825;0;0;0;0;0;0;0;0;203;0;203;7.00;9974908832.39;27458523.61;999941821879.45;58.29;21.12;99.99;0;0.00;5.00;41098.10;409745.55;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;19;19.000;0.94;101;0;101;1314;13.0;2;1;101.00;101;1314;NaN;NaN;18.00;1314;276;1038;1314;0;1314;4.00;888;0;0;0;0;0;0;0;0;219;0;219;6.00;9974395342.30;26956417.73;999938760799.24;57.92;20.74;99.99;0;0.00;4.00;41096.02;409745.76;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;20;20.000;0.98;101;0;101;1314;13.0;1;1;101.00;101;1314;1.36;6.00;18.00;1314;276;1038;1314;0;1314;4.00;826;0;0;0;0;0;0;0;0;203;0;203;8.00;9973910369.86;26561572.36;999935987594.95;57.57;20.43;99.99;0;0.00;5.00;41094.01;409745.96;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;21;21.000;1.03;101;0;101;1326;13.1;1;1;101.00;101;1326;1.51;5.00;21.00;1326;294;1032;1326;0;1326;29.00;3719;876;876;876;0;0;0;852;840;450;0;450;7.00;9973428219.67;26170555.32;999932458641.03;57.23;20.13;99.99;0;0.00;4.00;41219.63;411035.95;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;22;22.000;1.09;101;0;101;1342;13.3;1;1;101.00;101;1342;1.45;6.00;19.00;1342;286;1056;1342;0;1342;24.00;4377;342;342;342;0;0;0;332;316;888;0;888;5.00;9972847838.64;25820847.17;999928964188.94;56.81;19.86;99.99;0;0.00;4.00;41570.44;414622.01;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;23;23.000;1.15;101;0;101;1342;13.3;2;1;101.00;101;1342;NaN;NaN;20.00;1342;286;1056;1342;0;1342;5.00;1277;0;0;0;0;0;0;0;0;314;0;314;8.00;9972235790.00;25484891.84;999925875366.13;56.36;19.60;99.99;0;0.00;4.00;41566.77;414622.38;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;24;24.000;1.19;101;0;101;1452;14.4;1;1;101.00;101;1452;1.67;8.00;20.00;1452;284;1168;1452;0;1452;31.00;4514;576;576;576;0;0;0;552;442;832;0;832;7.00;9971732387.56;25168699.25;999923693938.15;55.99;19.36;99.99;0;0.00;5.00;41570.53;414622.01;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;25;25.000;1.26;101;0;101;1478;14.6;2;1;101.00;101;1478;NaN;NaN;22.00;1478;282;1196;1478;0;1478;30.00;4907;362;362;362;0;0;0;352;326;1016;0;1016;6.00;9971178018.87;24945069.00;999921716433.94;55.58;19.19;99.99;0;0.00;5.00;41144.12;410394.19;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;26;26.000;1.31;101;0;101;1512;15.0;1;1;101.00;101;1512;1.65;6.00;23.00;1512;280;1232;1512;0;1512;31.00;5120;392;392;392;0;0;0;384;350;1054;0;1054;7.00;9970571027.37;24677989.54;999919057483.15;55.13;18.98;99.99;0;0.00;5.00;41450.32;413543.42;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;27;27.000;1.37;101;0;101;1426;14.1;1;1;101.00;101;1426;1.78;7.00;21.00;1426;286;1140;1426;0;1426;29.00;4940;330;330;330;0;0;0;322;408;1009;0;1009;7.00;9969977960.50;24369586.78;999915950396.57;54.70;18.75;99.99;0;0.00;4.00;41366.60;412701.43;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;28;28.000;1.44;101;0;101;1388;13.7;1;1;101.00;101;1388;1.75;6.00;22.00;1388;268;1120;1388;0;1388;26.00;4749;318;318;318;0;0;0;312;350;981;0;981;17.00;9969338397.84;24125054.68;999912630045.61;54.23;18.56;99.99;0;0.00;4.00;41459.77;413670.60;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;29;29.000;1.51;101;0;101;1432;14.2;1;1;101.00;101;1432;1.63;5.00;27.00;1432;288;1144;1432;0;1432;27.00;4724;364;364;364;0;0;0;348;304;979;0;979;7.00;9968677076.76;23750130.39;999910290333.68;53.74;18.27;99.99;0;0.00;4.00;41326.86;412360.21;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;30;30.000;1.57;101;0;101;1422;14.1;2;1;101.00;101;1422;NaN;NaN;23.00;1422;278;1144;1422;0;1422;28.00;4821;332;332;332;0;0;0;322;332;1004;0;1004;6.00;9968054871.36;22646626.93;999907733072.21;53.28;17.42;99.99;0;0.00;5.00;41318.81;412300.66;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;31;31.000;1.64;101;0;101;1436;14.2;2;1;101.00;101;1436;NaN;NaN;26.00;1436;272;1164;1436;0;1436;30.00;4735;382;382;382;0;0;0;376;362;952;0;952;7.00;9967442249.80;18645499.96;999904739226.19;52.83;14.34;99.99;0;0.00;4.00;41315.59;412300.98;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;32;32.000;1.70;101;0;101;1420;14.1;1;1;101.00;101;1420;1.69;7.00;24.00;1420;278;1142;1420;0;1420;29.00;4801;382;382;382;0;0;0;372;388;966;0;966;6.00;9966793777.77;14415821.57;999901881543.76;52.36;11.09;99.99;0;0.00;3.00;41311.73;412301.37;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;33;33.000;1.77;101;0;101;1430;14.2;1;1;101.00;101;1430;1.61;6.00;30.00;1430;290;1140;1430;0;1430;31.00;4804;388;388;388;0;0;0;384;374;967;0;967;7.00;9966143746.14;10141441.28;999898408719.43;51.88;7.80;99.99;0;0.00;5.00;41338.24;412566.52;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;34;34.000;1.82;101;0;101;1402;13.9;1;1;101.00;101;1402;1.67;7.00;22.00;1402;288;1114;1402;0;1402;29.00;4765;360;360;360;0;0;0;352;380;965;0;965;6.00;9965556657.57;7080007.41;999894961531.13;51.46;5.45;99.99;0;0.00;4.00;41063.51;409857.56;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;35;35.000;1.87;101;0;101;1306;12.9;1;1;101.00;101;1306;1.76;9.00;20.00;1306;286;1020;1306;0;1306;26.00;4423;330;330;330;0;0;0;324;420;880;0;880;6.00;9964991716.10;5800080.92;999891716214.63;51.05;4.46;99.99;0;0.00;3.00;41032.17;409540.85;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;36;36.000;1.92;101;0;101;1352;13.4;1;1;101.00;101;1352;1.87;8.00;21.00;1352;274;1078;1352;0;1352;26.00;4466;378;378;378;0;0;0;370;324;899;0;899;6.00;9964449662.31;5559321.08;999888747800.59;50.65;4.28;99.99;0;0.00;4.00;41284.66;412112.42;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;37;37.000;2.00;101;0;101;1320;13.1;2;1;101.00;101;1320;NaN;NaN;20.00;1320;270;1050;1320;0;1320;22.00;4621;302;302;302;0;0;0;292;324;957;0;957;7.00;9963869595.58;5329239.78;999886331112.43;50.22;4.10;99.99;0;0.00;3.00;41319.81;412452.80;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;38;38.000;2.06;101;0;101;1240;12.3;1;1;101.00;101;1240;1.70;9.00;19.00;1240;268;972;1240;0;1240;20.00;4457;240;240;240;0;0;0;234;314;933;0;933;6.00;9963199869.80;4218848.12;999883015522.66;49.73;3.25;99.99;0;0.00;3.00;41214.60;411466.86;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;3;1;D_KTC;B;1.41;0.0;39;39.000;2.14;101;0;101;1308;13.0;1;1;101.00;101;1308;1.63;7.00;20.00;1308;278;1030;1308;0;1308;24.00;4411;344;344;344;0;0;0;336;268;910;0;910;6.00;9962527813.78;3100130.01;999879783339.15;49.24;2.38;99.99;0;0.00;3.00;41527.58;414626.32;-1.00;-1.00;-1.00;-1.00;-1.00
