cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
900;251;2;1;D_KTC;I;1.41;0.0;1;1.000;0.01;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;214.00;3922;706;3216;3922;0;3922;291.00;4173;3922;3922;3922;0;251;0;3922;0;0;0;0;82.00;4069052371.55;39117715.67;1000000000000.00;65.77;30.09;100.00;0;9.00;21.00;16752.13;259771.87;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;2;2.000;0.37;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;19.00;0;0;0;0;0;0;599.00;16191;0;0;0;0;0;0;0;0;3922;0;3922;78.00;4068750532.60;38753978.26;999999735007.02;65.54;29.81;100.00;0;16.00;25.00;16752.13;259771.87;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;3;3.000;0.72;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;1.00;0;0;0;0;0;0;541.00;15689;0;0;0;0;0;0;0;0;3922;0;3922;54.00;4068346691.41;38214714.26;999999378304.32;65.23;29.40;100.00;0;15.00;15.00;16752.13;259771.87;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;4;4.000;1.06;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;1.00;0;0;0;0;0;0;535.00;15689;0;0;0;0;0;0;0;0;3922;0;3922;51.00;4067942789.82;37680271.99;999999026617.15;64.92;28.98;100.00;0;15.00;16.00;16752.13;259771.87;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;5;5.000;1.41;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;0.00;0;0;0;0;0;0;530.00;15693;0;0;0;0;0;0;0;0;3922;0;3922;52.00;4067538954.60;37138948.53;999998666961.57;64.61;28.57;100.00;0;14.00;14.00;16751.96;259771.88;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;6;6.000;1.76;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;1.00;0;0;0;0;0;0;530.00;15704;0;0;0;0;0;0;0;0;3922;0;3922;53.00;4067135412.65;36593325.89;999998313368.06;64.30;28.15;100.00;0;13.00;13.00;16751.25;259771.93;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;7;7.000;2.10;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;1.00;0;0;0;0;0;0;525.00;15701;0;0;0;0;0;0;0;0;3922;0;3922;52.00;4066731686.13;36055319.10;999997954448.05;64.00;27.73;100.00;0;14.00;14.00;16750.61;259771.97;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;8;8.000;2.45;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;1.00;0;0;0;0;0;0;525.00;15706;0;0;0;0;0;0;0;0;3922;0;3922;51.00;4066328419.05;35514041.01;999997595772.15;63.69;27.32;100.00;0;13.00;13.00;16749.60;259772.03;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;9;9.000;2.79;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;0.00;0;0;0;0;0;0;523.00;15716;0;0;0;0;0;0;0;0;3922;0;3922;51.00;4065924702.03;34974862.02;999997238544.09;63.38;26.90;100.00;0;13.00;13.00;16747.87;259772.14;-1.00;-1.00;-1.00;-1.00;-1.00
900;251;2;1;D_KTC;I;1.41;0.0;10;10.000;3.13;251;0;251;3922;15.6;1;1;251.00;251;3922;2.45;7.00;1.00;0;0;0;0;0;0;529.00;15720;0;0;0;0;0;0;0;0;3922;0;3922;51.00;4065521392.58;34429617.04;999996889522.09;63.07;26.48;100.00;0;13.00;13.00;16745.88;259772.27;-1.00;-1.00;-1.00;-1.00;-1.00
