cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
300;101;6;1;D_KTC;B;1.41;0.0;1;1.000;0.01;101;0;101;4092;40.5;1;1;101.00;101;4092;1.47;4.00;246.00;4092;294;3798;4092;0;4092;226.00;4193;4092;4092;4092;0;101;0;4092;0;0;0;0;61.00;9982796066.36;39602555.33;1000000000000.00;63.92;30.46;100.00;0;1.00;72.00;41103.08;409652.49;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;2;2.000;0.07;101;0;101;4502;44.6;1;1;101.00;101;4502;1.65;4.00;151.00;4502;262;4240;4502;0;4502;480.00;15657;1088;1088;1088;0;0;0;1088;678;3414;0;3414;26.00;9982535051.01;39418791.66;999998200367.32;63.73;30.32;100.00;0;0.00;60.00;41134.53;409969.50;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;3;3.000;0.11;101;0;101;4458;44.1;1;1;101.00;101;4458;1.71;4.00;101.00;4458;288;4170;4458;0;4458;303.00;16018;866;866;866;0;0;0;866;910;3522;0;3522;15.00;9982183075.71;39124990.24;999994757285.74;63.49;30.10;100.00;0;0.00;54.00;41057.65;409196.57;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;4;4.000;0.17;101;0;101;4556;45.1;1;1;101.00;101;4556;1.96;6.00;97.00;4556;268;4288;4556;0;4556;325.00;15752;900;900;900;0;0;0;900;802;3476;0;3476;12.00;9981773868.13;38783460.89;999991305101.62;63.20;29.83;100.00;0;0.00;52.00;41136.63;409994.11;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;5;5.000;0.22;101;0;101;4516;44.7;1;1;101.00;101;4516;2.00;6.00;99.00;4516;274;4242;4516;0;4516;250.00;15714;782;782;782;0;0;0;782;822;3493;0;3493;12.00;9981321866.72;37895863.48;999987803128.84;62.88;29.15;100.00;0;0.00;55.00;41061.66;409244.47;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;6;6.000;0.28;101;0;101;4490;44.5;1;1;101.00;101;4490;1.92;5.00;99.00;4490;284;4206;4490;0;4490;270.00;15329;776;776;776;0;0;0;776;802;3404;0;3404;12.00;9980855752.80;37717745.86;999984331235.77;62.54;29.01;100.00;0;1.00;53.00;41061.60;409244.48;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;7;7.000;0.33;101;0;101;4532;44.9;1;1;101.00;101;4532;2.09;6.00;101.00;4532;276;4256;4532;0;4532;294.00;15289;850;850;850;0;0;0;850;808;3371;0;3371;11.00;9980388557.69;36666212.34;999980959664.07;62.21;28.20;100.00;0;0.00;52.00;41117.45;409818.27;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;8;8.000;0.40;101;0;101;4560;45.1;1;1;101.00;101;4560;2.20;6.00;98.00;4560;300;4260;4560;0;4560;299.00;15270;848;848;848;0;0;0;848;820;3361;0;3361;10.00;9979851111.73;35165743.52;999977494862.45;61.82;27.05;100.00;0;0.00;52.00;41115.94;409818.42;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;9;9.000;0.46;101;0;101;4432;43.9;1;1;101.00;101;4432;2.25;7.00;103.00;4432;292;4140;4432;0;4432;274.00;15117;756;756;756;0;0;0;756;884;3333;0;3333;11.00;9979305267.28;34556573.29;999973985812.26;61.43;26.58;100.00;0;0.00;51.00;41114.52;409818.56;-1.00;-1.00;-1.00;-1.00;-1.00
300;101;6;1;D_KTC;B;1.41;0.0;10;10.000;0.53;101;0;101;4458;44.1;1;1;101.00;101;4458;2.43;8.00;100.00;4458;282;4176;4458;0;4458;319.00;14979;868;868;868;0;0;0;868;842;3276;0;3276;10.00;9978752878.61;33942522.53;999970969483.84;61.03;26.11;100.00;0;0.00;49.00;41094.95;409645.98;-1.00;-1.00;-1.00;-1.00;-1.00
