cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
600;101;4;1;D_KTC;I;1.41;0.0;1;1.000;0.00;101;0;101;1192;11.8;1;1;101.00;101;1192;1.26;5.00;90.00;1192;280;912;1192;0;1192;116.00;1293;1192;1192;1192;0;101;0;1192;0;0;0;0;34.00;9987933850.50;39186010.84;1000000000000.00;67.87;30.14;100.00;0;6.00;11.00;41123.54;409560.31;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;2;2.000;0.07;101;0;101;1366;13.5;1;1;101.00;101;1366;1.51;9.00;40.00;744;190;554;744;0;744;166.00;4743;752;752;752;0;0;0;390;216;976;0;976;17.00;9987546101.28;38998751.90;999998014944.16;67.59;30.00;100.00;0;5.00;6.00;41584.48;414219.84;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;3;3.000;0.13;101;0;101;1290;12.8;1;1;101.00;101;1290;1.41;8.00;19.00;690;198;492;690;0;690;83.00;4654;732;732;732;0;0;0;290;366;964;0;964;13.00;9986931309.79;38131096.38;999994033592.62;67.14;29.33;100.00;0;3.00;6.00;41244.48;410819.82;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;4;4.000;0.19;101;0;101;1330;13.2;1;1;101.00;101;1330;1.45;7.00;12.00;704;196;508;704;0;704;66.00;4560;718;718;718;0;0;0;314;274;957;0;957;11.00;9986311589.69;37540326.81;999990077511.39;66.70;28.88;100.00;0;3.00;4.00;41621.76;414616.94;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;5;5.000;0.25;101;0;101;1384;13.7;2;1;101.00;101;1384;NaN;NaN;14.00;800;210;590;800;0;800;70.00;4748;830;830;830;0;0;0;378;324;969;0;969;11.00;9985716571.60;33568742.53;999986343772.37;66.27;25.82;100.00;0;2.00;4.00;41621.86;414616.93;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;6;6.000;0.30;101;0;101;1376;13.6;1;1;101.00;101;1376;1.46;6.00;12.00;730;222;508;730;0;730;76.00;4791;746;746;746;0;0;0;292;300;1012;0;1012;8.00;9985164744.79;29783959.67;999982755188.96;65.87;22.91;100.00;0;3.00;4.00;41136.33;409748.85;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;7;7.000;0.37;101;0;101;1340;13.3;1;1;101.00;101;1340;1.62;6.00;12.00;682;196;486;682;0;682;73.00;4615;692;692;692;0;0;0;268;304;975;0;975;7.00;9984577404.78;28424725.93;999979874899.36;65.44;21.87;100.00;0;2.00;4.00;41135.06;409748.98;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;8;8.000;0.43;101;0;101;1328;13.1;1;1;101.00;101;1328;1.50;6.00;11.00;636;178;458;636;0;636;70.00;4586;646;646;646;0;0;0;266;278;974;0;974;7.00;9983902928.15;28234212.98;999976750599.48;64.95;21.72;100.00;0;2.00;4.00;41160.57;410035.14;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;9;9.000;0.49;101;0;101;1350;13.4;2;1;101.00;101;1350;NaN;NaN;12.00;718;222;496;718;0;718;71.00;4560;730;730;730;0;0;0;278;256;969;0;969;7.00;9983227738.19;28063532.35;999973373529.93;64.45;21.59;100.00;0;2.00;4.00;41616.57;414617.46;-1.00;-1.00;-1.00;-1.00;-1.00
600;101;4;1;D_KTC;I;1.41;0.0;10;10.000;0.55;101;0;101;1332;13.2;1;1;101.00;101;1332;1.51;6.00;12.00;760;230;530;760;0;760;70.00;4591;772;772;772;0;0;0;306;324;951;0;951;7.00;9982625639.16;27215893.31;999970818791.88;64.01;20.94;100.00;0;2.00;4.00;41169.70;410201.51;-1.00;-1.00;-1.00;-1.00;-1.00
