cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
300;251;4;1;D_KTC;I;1.41;0.0;1;1.000;0.08;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;2339.00;24844;708;24136;24844;0;24844;1069.00;25095;24844;24844;24844;0;251;0;24844;0;0;0;0;130.00;4068594564.82;39186010.84;1000000000000.00;65.42;30.14;100.00;0;23.00;971.00;16743.49;259727.52;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;2;2.000;3.19;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;64.00;0;0;0;0;0;0;165456.00;99879;0;0;0;0;0;0;0;0;24844;0;24844;76.00;4068304176.48;38787695.54;999999733205.19;65.20;29.84;100.00;0;716.00;787.00;16743.49;259727.52;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;3;3.000;6.60;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;3.00;0;0;0;0;0;0;182947.00;99379;0;0;0;0;0;0;0;0;24844;0;24844;71.00;4067931071.75;38214103.51;999999428983.73;64.91;29.40;100.00;0;783.00;787.00;16743.49;259727.52;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;4;4.000;10.00;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182575.00;99379;0;0;0;0;0;0;0;0;24844;0;24844;66.00;4067557915.40;37623945.99;999999119531.23;64.63;28.94;100.00;0;786.00;788.00;16743.49;259727.52;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;5;5.000;13.40;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182653.00;99386;0;0;0;0;0;0;0;0;24844;0;24844;66.00;4067184535.01;37022469.74;999998804456.62;64.34;28.48;100.00;0;787.00;784.00;16743.23;259727.54;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;6;6.000;16.80;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;2.00;0;0;0;0;0;0;182603.00;99389;0;0;0;0;0;0;0;0;24844;0;24844;67.00;4066811502.35;36459589.76;999998480522.58;64.06;28.05;100.00;0;784.00;784.00;16742.79;259727.56;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;7;7.000;20.20;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182585.00;99395;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4066438139.13;35879183.10;999998151420.77;63.77;27.60;100.00;0;793.00;780.00;16742.03;259727.61;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;8;8.000;23.60;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182721.00;99391;0;0;0;0;0;0;0;0;24844;0;24844;65.00;4066065364.02;35299181.77;999997823663.52;63.48;27.15;100.00;0;791.00;785.00;16741.39;259727.65;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;9;9.000;26.99;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;0.00;0;0;0;0;0;0;182472.00;99398;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4065692341.53;34742801.95;999997472612.45;63.20;26.73;100.00;0;786.00;784.00;16740.50;259727.71;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;10;10.000;30.39;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182465.00;99401;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4065318925.12;34176716.38;999997136905.60;62.91;26.29;100.00;0;783.00;785.00;16739.24;259727.79;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;11;11.000;33.78;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;0.00;0;0;0;0;0;0;182572.00;99405;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4064946194.93;33544427.38;999996811658.68;62.63;25.80;100.00;0;783.00;784.00;16737.51;259727.90;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;12;12.000;37.18;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182466.00;99408;0;0;0;0;0;0;0;0;24844;0;24844;63.00;4064572936.97;32851025.50;999996527718.51;62.34;25.27;100.00;0;788.00;819.00;16735.59;259728.02;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;13;13.000;40.57;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182495.00;99400;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4064199857.25;32158057.36;999996182181.51;62.05;24.74;100.00;0;790.00;837.00;16734.24;259728.11;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;14;14.000;43.97;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182884.00;99415;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4063826379.35;31463186.19;999995849606.81;61.77;24.20;100.00;0;799.00;784.00;16732.06;259728.24;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;15;15.000;47.37;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182521.00;99402;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4063452865.39;30771203.93;999995539167.86;61.48;23.67;100.00;0;790.00;784.00;16730.36;259728.35;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;16;16.000;50.76;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182543.00;99401;0;0;0;0;0;0;0;0;24844;0;24844;65.00;4063079843.69;30089200.75;999995207221.22;61.19;23.15;100.00;0;792.00;784.00;16729.05;259728.44;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;17;17.000;54.16;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182591.00;99411;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4062707648.40;29414928.31;999994888761.26;60.91;22.63;100.00;0;789.00;787.00;16727.26;259728.55;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;4;1;D_KTC;I;1.41;0.0;18;18.000;57.55;251;0;251;24844;99.0;1;1;251.00;251;24844;6.71;14.00;1.00;0;0;0;0;0;0;182512.00;99406;0;0;0;0;0;0;0;0;24844;0;24844;64.00;4062334075.13;28702725.50;999994550791.05;60.62;22.08;100.00;0;789.00;784.00;16725.73;259728.65;-1.00;-1.00;-1.00;-1.00;-1.00
