cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
600;251;1;1;D_KTC;I;1.41;0.0;1;1.000;0.02;251;0;251;7678;30.6;1;1;251.00;251;7678;1.29;4.00;497.00;7678;698;6980;7678;0;7678;411.00;7929;7678;7678;7678;0;251;0;7678;0;0;0;0;107.00;4065086031.01;39249429.09;1000000000000.00;62.72;30.19;100.00;0;12.00;67.00;16788.18;260651.30;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;2;2.000;0.26;251;0;251;7854;31.3;1;1;251.00;251;7854;1.33;4.00;141.00;3342;582;2760;3342;0;3342;2582.00;28014;3356;3356;3356;0;0;0;1898;1722;5956;0;5956;71.00;4064791556.31;39024145.11;999999265812.22;62.50;30.02;100.00;0;30.00;58.00;16853.25;261681.31;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;3;3.000;0.48;251;0;251;7800;31.1;1;1;251.00;251;7800;1.35;5.00;121.00;3382;602;2780;3382;0;3382;2112.00;27101;3410;3410;3410;0;0;0;1862;1916;5750;0;5750;66.00;4064417791.48;38787989.57;999998014085.09;62.22;29.84;100.00;0;26.00;56.00;16853.47;261681.30;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;4;4.000;0.71;251;0;251;7854;31.3;1;1;251.00;251;7854;1.38;5.00;118.00;3296;568;2728;3296;0;3296;2113.00;26995;3318;3318;3318;0;0;0;1826;1772;5764;0;5764;64.00;4064041984.90;38279016.15;999996573060.44;61.93;29.45;100.00;0;27.00;56.00;16797.82;260803.27;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;5;5.000;0.95;251;0;251;7892;31.4;1;1;251.00;251;7892;1.40;5.00;124.00;3452;576;2876;3452;0;3452;2141.00;26741;3462;3462;3462;0;0;0;1936;1898;5637;0;5637;62.00;4063666977.11;37708597.35;999995007060.31;61.65;29.01;100.00;0;25.00;55.00;16780.62;260527.62;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;6;6.000;1.18;251;0;251;7658;30.5;1;1;251.00;251;7658;1.37;6.00;119.00;3376;590;2786;3376;0;3376;2040.00;26038;3394;3394;3394;0;0;0;1814;2048;5453;0;5453;62.00;4063289109.17;37183679.81;999993712629.88;61.36;28.60;100.00;0;24.00;55.00;16748.98;260039.67;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;7;7.000;1.42;251;0;251;7882;31.4;1;1;251.00;251;7882;1.40;5.00;125.00;3520;590;2930;3520;0;3520;2079.00;25984;3542;3542;3542;0;0;0;1980;1756;5470;0;5470;61.00;4062910887.81;36760373.44;999992669324.81;61.07;28.28;100.00;0;24.00;56.00;16852.23;261681.38;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;8;8.000;1.65;251;0;251;7988;31.8;1;1;251.00;251;7988;1.40;6.00;142.00;3498;578;2920;3498;0;3498;2254.00;26379;3510;3510;3510;0;0;0;1958;1852;5550;0;5550;63.00;4062535775.18;36265404.51;999991673865.81;60.79;27.90;100.00;0;25.00;60.00;16796.41;260810.74;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;9;9.000;1.89;251;0;251;7878;31.4;1;1;251.00;251;7878;1.39;5.00;123.00;3396;564;2832;3396;0;3396;2350.00;26330;3420;3420;3420;0;0;0;1928;2038;5496;0;5496;61.00;4062162274.00;35386440.95;999990606847.71;60.50;27.22;100.00;0;26.00;57.00;16748.40;260055.42;-1.00;-1.00;-1.00;-1.00;-1.00
600;251;1;1;D_KTC;I;1.41;0.0;10;10.000;2.12;251;0;251;7906;31.5;1;1;251.00;251;7906;1.42;6.00;129.00;3488;582;2906;3488;0;3488;2159.00;25732;3508;3508;3508;0;0;0;2016;1988;5336;0;5336;60.00;4061787556.76;34698194.20;999989274623.31;60.22;26.69;100.00;0;25.00;57.00;16739.41;259936.99;-1.00;-1.00;-1.00;-1.00;-1.00
