cWorldSize;cNodeCount;cSeed;cAlgoId;cAlgoName;cAlgoMode;cKtcParameterK;cMinimumDistanceThresholdInMeters;iter;simulationTimeInMinutes;totalTimeInMinutes;nodeCountTotal;nodeCountEmpty;nodeCountAlive;edgeCountTotal;nodeOutdegreeAvg;numSCCsOutput;numSCCsInput;nodeCountReachableFromBaseStation;nodeCountInFacade;edgeCountInFacade;hopSpannerAvg;hopSpannerMax;tcTimeInMillis;tcLSMCountTotal;tcLSMCountAct;tcLSMCountInact;tcLSMCountClassification;tcLSMCountUnclassification;tcLSMCountEffective;ceTimeInMillis;ceRuleCountTotal;ceLSMCountTotal;ceLSMCountUnclassification;ceLSMCountEffective;ceLSMsPerRule;ceNodeAddtionCount;ceNodeRemovalCount;ceEdgeAdditionCount;ceEdgeRemovalCount;ceDistanceModCount;ceRemainingEnergyModCount;ceRequiredPowerModCount;statTimeInMillis;energyLevelAvg;energyLevelMin;energyLevelMax;energyPercentageAvg;energyPercentageMin;energyPercentageMax;tcViolationCount;ceCheckTimeInMillis;tcCheckTimeInMillis;remainingLifetimeMean;remainingLifetimeStddev;lifetimeOneKey;lifetimeFirstQuartileKey;lifetimeSecondQuartileKey;lifetimeThirdQuartileKey;lifetimeAllKey
300;251;3;1;D_KTC;I;1.41;0.0;1;1.000;0.07;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;2203.00;25096;724;24372;25096;0;25096;917.00;25347;25096;25096;25096;0;251;0;25096;0;0;0;0;107.00;4067891172.45;40661725.75;1000000000000.00;64.88;31.28;100.00;0;22.00;830.00;16729.93;259558.65;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;2;2.000;3.56;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;25.00;0;0;0;0;0;0;187556.00;100887;0;0;0;0;0;0;0;0;25096;0;25096;75.00;4067601706.74;40467018.71;999999749314.26;64.66;31.13;100.00;0;788.00;806.00;16729.93;259558.65;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;3;3.000;7.12;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;3.00;0;0;0;0;0;0;191701.00;100388;0;0;0;0;0;0;0;0;25096;0;25096;72.00;4067228810.17;39994902.24;999999463615.84;64.37;30.77;100.00;0;800.00;804.00;16729.93;259558.65;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;4;4.000;10.67;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;2.00;0;0;0;0;0;0;191549.00;100388;0;0;0;0;0;0;0;0;25096;0;25096;67.00;4066855138.90;39377375.35;999999195343.79;64.09;30.29;100.00;0;802.00;815.00;16729.93;259558.65;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;5;5.000;14.28;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;1.00;0;0;0;0;0;0;194885.00;100392;0;0;0;0;0;0;0;0;25096;0;25096;65.00;4066482513.93;38761190.08;999998913931.89;63.80;29.82;100.00;0;808.00;804.00;16729.77;259558.66;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;6;6.000;17.83;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;1.00;0;0;0;0;0;0;191643.00;100397;0;0;0;0;0;0;0;0;25096;0;25096;64.00;4066109225.95;38116521.44;999998617918.17;63.51;29.32;100.00;0;803.00;802.00;16729.39;259558.69;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;7;7.000;21.39;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;0.00;0;0;0;0;0;0;191674.00;100401;0;0;0;0;0;0;0;0;25096;0;25096;63.00;4065735872.55;37473356.90;999998327121.48;63.23;28.83;100.00;0;799.00;805.00;16728.77;259558.73;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;8;8.000;24.95;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;0.00;0;0;0;0;0;0;191744.00;100409;0;0;0;0;0;0;0;0;25096;0;25096;63.00;4065363190.09;36831943.55;999998034414.49;62.94;28.33;100.00;0;799.00;804.00;16727.69;259558.79;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;9;9.000;28.50;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;0.00;0;0;0;0;0;0;191442.00;100409;0;0;0;0;0;0;0;0;25096;0;25096;62.00;4064989857.52;36188236.94;999997727443.43;62.66;27.84;100.00;0;804.00;856.00;16726.53;259558.87;-1.00;-1.00;-1.00;-1.00;-1.00
300;251;3;1;D_KTC;I;1.41;0.0;10;10.000;32.05;251;0;251;25096;100.0;1;1;251.00;251;25096;6.56;16.00;1.00;0;0;0;0;0;0;191499.00;100411;0;0;0;0;0;0;0;0;25096;0;25096;63.00;4064616920.25;35560287.95;999997448608.21;62.37;27.35;100.00;0;799.00;804.00;16725.12;259558.96;-1.00;-1.00;-1.00;-1.00;-1.00
