ID;IDLE;RECV;SEND;Total
1;5815479.9;1160534.7;8412445.3;15388460.0
2;5815361.5;1225584.3;8268904.7;15309850.5
3;5762826.5;7546022.3;33469597.7;46778446.5
4;5813359.3;1271602.2;9151174.8;16236136.3
5;5824051.3;0.0;4032938.3;9856989.7
6;5814831.0;1155069.2;8767756.5;15737656.7
7;5823877.8;0.0;4122187.7;9946065.6
8;5717638.5;16889645.3;52555162.3;75162446.1
9;5805200.9;2501786.5;13083129.9;21390117.3
10;5815272.1;0.0;8548628.4;14363900.5
11;5785022.1;4921931.6;23099498.2;33806451.8
12;5824123.0;0.0;3996050.4;9820173.4
13;5795838.3;3510567.9;18371177.7;27677583.9
14;5783985.4;4988116.5;23409418.8;34181520.6
15;5813622.4;1231147.5;9150129.9;16194899.8
16;5692692.1;16611696.7;68186745.6;90491134.4
17;5805018.0;2369491.3;13604904.4;21779413.6
18;5768238.9;8766105.1;30483609.7;45017953.7
19;5792314.3;3801949.2;19223847.4;28818110.9
20;5814509.6;1193669.5;8805859.3;15814038.4
21;5824206.5;0.0;3953146.3;9777352.8
22;5768772.1;7277820.7;31294213.6;44340806.4
23;5815118.2;1229829.9;8374404.1;15419352.2
24;5823455.5;0.0;4339399.3;10162854.9
25;5773021.4;6329124.2;28437272.7;40539418.3
26;5824602.6;0.0;3749391.7;9573994.3
27;3213536.7;24337850.5;59145201.6;86696588.7
28;5804714.4;2427793.8;13600563.1;21833071.3
29;2611013.7;7778746.7;31369541.1;41759301.4
30;5785440.8;3973381.5;22216414.8;31975237.2
31;5713348.7;18151708.5;56304292.3;80169349.5
32;5814119.4;1245535.6;8845045.4;15904700.4
33;5805739.2;2336551.7;13351278.1;21493569.0
34;5814082.4;1221485.2;8934588.1;15970155.7
35;3291066.9;14835688.4;48701036.1;66827791.4
36;5824182.8;0.0;3965336.8;9789519.5
37;5786041.5;4849025.3;22804541.0;33439607.7
38;5824013.5;0.0;4052411.4;9876424.9
39;5131361.2;16608219.1;62931001.3;84670581.6
40;5814740.8;1156338.0;8806554.3;15777633.0
41;5804715.6;2500810.5;13333078.2;21638604.4
42;5784693.7;4922956.4;23264710.0;33972360.0
43;5824030.8;0.0;4043520.6;9867551.4
44;2976629.9;11181737.6;43365114.7;57523482.2
45;5823639.8;0.0;4244608.8;10068248.6
46;5779965.6;5311070.9;24439707.5;35530744.0
47;5781931.2;5138516.2;23960383.7;34880831.1
48;5787602.1;4683949.7;22547803.3;33019355.2
49;5731598.6;13901937.4;47607812.1;67241348.0
50;5824133.2;0.0;3990825.9;9814959.1
51;5802229.9;2605875.7;14282789.9;22690895.5
52;5791797.3;3594942.1;20175193.9;29561933.3
53;5824214.5;0.0;3949030.1;9773244.5
54;5783520.5;4971219.0;23698294.9;34453034.4
55;5176193.4;15335055.4;55868917.5;76380166.3
56;5824524.1;0.0;3789762.7;9614286.8
57;5770423.9;6529982.6;29110877.0;41411283.4
58;5791121.1;3948578.6;19386329.5;29126029.2
59;4811601.8;8424570.9;34687144.3;47923317.0
60;5824361.3;0.0;3873512.6;9697873.9
61;5802384.2;2607193.2;14202801.2;22612378.7
62;5803684.2;2540777.2;13737999.4;22082460.8
63;5793560.5;2586453.5;18797408.4;27177422.4
64;5812542.3;1344752.5;9326297.3;16483592.0
65;5823405.9;0.0;4364930.1;10188336.0
66;5804894.5;2565456.9;13053986.1;21424337.5
67;5744665.0;11519917.5;41939582.3;59204164.7
68;5700493.0;15450879.5;61488643.9;82640016.3
69;5824368.7;0.0;3869713.0;9694081.7
70;5824167.4;0.0;3973252.6;9797420.0
71;5824514.6;0.0;3794670.5;9619185.1
72;3164520.4;13490142.3;43206688.9;59861351.5
73;5749893.1;9557973.2;41082164.7;56390031.0
74;5806893.1;2335416.5;12769324.6;20911634.2
75;5823571.8;0.0;4279597.0;10103168.8
76;5806568.4;2380715.2;12777618.8;20964902.4
77;4577975.6;10364871.4;43010256.9;57953103.8
78;5730454.7;11749331.2;47659825.2;65139611.2
79;5689114.7;23147193.7;64325245.2;93161553.6
80;5824595.8;0.0;3752874.7;9577470.5
81;5797949.2;3507152.0;17306162.5;26611263.7
82;5823867.9;0.0;4127295.6;9951163.4
83;5794829.1;3691259.3;18312220.3;27798308.7
84;4186908.6;14429045.5;54961476.6;73577430.7
85;5824384.1;0.0;3861755.5;9686139.6
86;5824570.3;0.0;3766015.0;9590585.3
87;5823723.8;0.0;4201388.2;10025112.0
88;5824034.1;0.0;4041804.1;9865838.2
89;5783609.7;4837960.7;24082718.2;34704288.5
90;5786466.8;3863778.0;22038960.9;31689205.7
91;5823946.4;0.0;4086924.6;9910871.0
92;5697478.2;21255338.1;60055465.5;87008281.8
93;5745289.1;10682214.0;39774723.8;56202226.9
94;5814834.4;1192107.9;8655682.7;15662625.0
95;5824001.5;0.0;4058585.8;9882587.2
96;5824157.5;0.0;3978318.8;9802476.3
97;5824046.7;0.0;4035313.1;9859359.8
98;5793769.0;3703800.7;18807450.7;28305020.5
99;5794990.7;3816673.8;17814851.7;27426516.1
100;5824063.6;0.0;4026605.6;9850669.3
101;5765167.1;36613755.6;18404791.0;60783713.6
