ID;IDLE;SEND;RECV;Total
1;5823083.4;4530821.9;0.0;10353905.2
2;5803750.2;13906924.2;2478509.2;22189183.6
3;5787314.5;22182883.2;6123483.5;34093681.1
4;5788592.6;20469861.1;5465179.5;31723633.2
5;5783586.4;21105122.6;9383222.5;36271931.5
6;5824547.5;3777730.5;0.0;9602278.0
7;5803096.5;14156800.8;2505554.3;22465451.7
8;5789262.2;18653464.5;6363319.8;30806046.5
9;5805135.0;13297720.1;2447863.2;21550718.2
10;5811393.0;9702269.7;1413462.1;16927124.8
11;5804718.9;13741315.7;2381336.7;21927371.3
12;5785296.8;23384922.9;6107818.9;35278038.7
13;5814684.9;8681845.1;1204657.6;15701187.5
14;5790077.6;19991998.9;5696396.2;31478472.7
15;5824556.1;3773297.6;0.0;9597853.7
16;5813500.7;9108712.4;1264282.3;16186495.3
17;5791192.5;18557867.4;5020426.8;29369486.7
18;5790497.6;19046625.1;5205273.8;30042396.6
19;5812590.6;9457310.8;1299993.2;16569894.7
20;5789564.2;19683849.8;5233354.0;30706768.0
21;5784854.8;21632719.8;8116469.4;35534044.1
22;5785249.0;20911412.0;8001223.2;34697884.2
23;5786705.4;20272940.8;9703883.4;35763529.6
24;5793253.9;18872090.9;6002900.2;30668245.0
25;5789229.3;21439949.1;5237042.2;32466220.7
26;5814167.1;8848003.4;1234856.2;15897026.8
27;5780830.8;21324250.7;9701809.2;36806890.7
28;5800477.3;14649988.2;2769646.5;23220111.9
29;5789490.2;18359550.5;6212927.7;30361968.4
30;5784055.2;22694875.3;5393346.8;33872277.2
31;5791434.5;18359057.2;5022764.0;29173255.8
32;5822817.2;4667749.8;0.0;10490567.0
33;5814190.7;9031645.1;1176589.7;16022425.5
34;5782693.4;20358708.9;9730317.3;35871719.6
35;5802305.1;14375472.3;2563420.2;22741197.6
36;5812854.1;9300556.5;1304151.4;16417562.0
37;5785271.4;22374134.0;7080134.3;35239539.8
38;5824455.2;3825225.8;0.0;9649680.9
39;5799243.9;15006987.5;2854411.0;23660642.5
40;5791721.2;18269926.2;4190197.3;28251844.7
41;5786107.3;21929993.4;6264932.5;33981033.2
42;5779231.2;23630540.0;10692510.6;40102281.9
43;5789537.2;19358104.0;4677849.8;29825491.0
44;5810819.0;9883529.9;1449768.8;17144117.7
45;5789327.2;19933031.5;5320245.2;31042604.0
46;5787030.1;20769839.5;5317788.8;31874658.4
47;5791458.7;18284716.3;4921505.3;28997680.3
48;5824342.2;3883328.3;0.0;9707670.5
49;5823109.7;4517273.2;0.0;10340382.9
50;5788447.4;19958409.0;4780921.9;30527778.2
51;5823881.5;4120287.9;0.0;9944169.4
52;5822691.5;4732385.0;0.0;10555076.5
53;5813669.3;9004542.8;1267551.8;16085764.0
