ID;IDLE;RECV;SEND;Total
1;5803919.4;2355737.6;13139764.2;21299421.2
2;5793052.7;3534154.5;18416461.5;27743668.6
3;5803020.1;2727787.4;13552296.3;22083103.8
4;5799654.0;2931220.3;15363040.2;24093914.5
5;5787758.5;4456065.2;21166379.8;31410203.6
6;5781654.0;5205549.7;23530916.7;34518120.3
7;5805353.7;2167712.9;12923785.8;20896852.5
8;5806609.1;2212987.5;11992140.7;20011737.2
9;5750130.2;9885988.9;37582363.1;53218482.2
10;5796100.6;3717699.8;17237356.1;26751156.5
11;5795031.6;3379226.6;17844145.4;27018403.6
12;5779222.2;5435488.4;25054334.3;36269044.9
13;5787393.6;4713053.7;21039137.5;31539584.9
14;5772387.3;6331848.8;27901339.6;40005575.7
15;5796979.7;2791079.2;16951254.7;25539313.6
16;5783221.6;4884686.4;23472157.5;34140065.5
17;5779619.8;5491816.3;24874762.3;36146198.3
18;5789402.1;4361202.8;19900903.0;30051507.9
19;5772877.3;7217302.8;27077572.0;40067752.0
20;5724824.5;12319064.3;49826120.2;67870009.1
21;5771996.0;7007251.1;27404272.6;40183519.7
22;5787573.5;5231098.5;20564148.4;31582820.3
23;5798718.7;3161009.0;15768058.0;24727785.7
24;5790791.1;4460102.2;19170779.4;29421672.7
25;5789242.6;4990861.0;19841565.6;30621669.3
26;5783255.7;6004295.3;22266529.8;34054080.8
27;5792205.7;4007155.3;18914958.3;28714319.4
28;5796910.9;3266819.5;16731540.0;25795270.4
29;5804248.1;2353625.9;13007164.2;21165038.1
30;5793456.3;3708373.0;18476010.5;27977839.8
31;5756408.7;9180329.9;35238207.5;50174946.1
32;5781097.3;5440847.1;23746416.8;34968361.2
33;5788208.1;4537706.1;20131323.3;30457237.6
34;5767667.0;7552275.8;29770910.9;43090853.7
35;5785189.9;4811308.5;22045076.9;32641575.4
36;5795508.1;3441307.7;17358494.0;26595309.7
37;5777271.4;6321900.9;25350696.3;37449868.6
38;5768970.0;6995755.5;29203029.4;41967754.9
39;5775540.0;6847073.0;26213758.4;38836371.3
40;5803123.4;2769966.5;13705817.6;22278907.5
41;5777636.4;6088071.6;24451894.6;36317602.6
42;5788749.8;4462410.2;20558370.6;30809530.6
43;5811333.2;1485349.8;9928617.0;17225300.0
44;5795188.9;3361628.5;17574222.4;26731039.8
45;5794909.7;3545036.2;16527063.8;25867009.7
46;5799781.4;2816131.8;14845935.3;23461848.4
47;5795396.4;3519006.6;17505702.6;26820105.6
48;5775572.0;5993282.6;26706619.1;38475473.6
49;5779727.6;5511605.2;24370064.4;35661397.2
50;5772355.5;6163565.3;27931686.6;39867607.4
51;5782513.2;5922927.2;23450401.4;35155841.8
52;4095607.8;9846726.5;37291972.1;51234306.3
53;5792561.8;4067859.2;18426903.8;28287324.8
54;5758802.5;9007824.0;33656880.6;48423507.2
55;4191232.7;11852735.6;46469724.2;62513692.5
56;5788022.8;4830431.2;20431145.0;31049599.0
57;5779468.1;5726981.1;24353759.4;35860208.6
58;5786845.1;4134804.3;21367844.7;31289494.1
59;5795188.7;3710573.1;17484469.7;26990231.5
60;5783991.2;4322011.7;22811048.7;32917051.6
61;5761654.7;8361185.6;32330518.3;46453358.6
62;5795457.6;3797736.0;17116619.8;26709813.4
63;5800794.8;2998565.0;14810698.8;23610058.6
64;5801280.9;2781494.5;14652694.6;23235469.9
65;5776100.3;6260627.3;26174987.2;38211714.9
66;5797007.0;2915695.9;16901396.4;25614099.3
67;3129774.0;11923729.5;40586722.6;55640226.1
68;5794194.9;4208591.1;17701843.0;27704628.9
69;5802035.1;2517497.4;14409827.2;22729359.7
70;5793543.1;3551504.5;17874767.3;27219814.9
71;5783226.1;4876088.9;23071089.3;33730404.3
72;5812105.8;1413173.4;9967419.8;17192699.0
73;5807772.0;2009900.8;11841139.1;19658811.9
74;5799778.0;2956267.7;15205621.0;23961666.7
75;5803658.0;2308285.5;13502436.3;21614379.9
76;5796395.0;3136320.1;16807152.5;25739867.5
77;5781319.6;5400433.5;23594487.0;34776240.1
78;5723190.2;12065449.2;51175905.2;68964544.6
79;5789362.9;4319063.7;20361443.7;30469870.2
80;5793309.1;3367452.1;18552436.2;27713197.4
81;5783384.8;4854524.2;22871299.3;33509208.3
82;4780553.8;8020629.9;28495511.8;41296695.6
83;5810049.9;1604024.8;10384754.8;17798829.4
84;5782103.2;5265046.4;23351936.2;34399085.9
85;5784972.9;4831449.8;21922947.5;32539370.2
86;5799257.2;3106417.4;15421704.3;24327378.9
87;5782633.0;4841556.9;23162441.9;33786631.8
88;5802597.5;3047544.7;13716271.6;22566413.8
89;5781354.3;5269700.3;23592930.5;34643985.1
90;5776669.9;7669250.0;24773029.1;38218949.1
91;5799878.6;2908276.9;15128505.3;23836660.8
92;5782379.9;4949611.1;23408940.5;34140931.6
93;5787042.5;4974967.3;20871626.0;31633635.8
94;5782824.4;5182641.7;22808465.6;33773931.7
95;5802755.1;2345042.8;14104217.8;22252015.6
96;5767471.9;7142338.7;30848346.5;43758157.1
97;5772786.2;6521835.7;27573227.4;39867849.3
98;5802826.7;2906189.8;14113091.9;22822108.4
99;5789383.5;4429390.4;19878197.0;30096970.9
100;5779889.2;5523129.6;24038572.6;35341591.4
101;5668104.6;95826495.3;48258237.0;149752836.9
