ID;IDLE;RECV;SEND;Total
1;5796925.0;3032751.8;17188669.3;26018346.1
2;5799596.5;3077637.5;15332331.6;24209565.6
3;5795732.7;3751746.4;16884883.0;26432362.2
4;5804411.6;2148445.4;13379007.0;21331863.9
5;5778891.0;5951849.8;25070917.7;36801658.5
6;5791413.7;3812554.6;19081205.0;28685173.3
7;5795704.3;3415527.2;17035994.6;26247226.0
8;5791051.2;4188515.5;19092987.2;29072553.9
9;5790156.7;4120694.1;19469101.2;29379952.0
10;5793204.8;3740161.9;18273965.8;27807332.5
11;5764518.5;7167931.6;31858193.9;44790644.0
12;5779776.0;5844612.9;24408157.3;36032546.1
13;5801300.4;2643563.2;14586152.9;23031016.5
14;5799368.0;2823275.5;15685632.9;24308276.4
15;5752091.7;9966790.0;36962573.4;52681455.0
16;5777315.7;5774561.6;25819206.2;37371083.5
17;5803144.4;2553392.7;13824624.1;22181161.1
18;5792223.6;4570041.1;18386269.5;28748534.2
19;5731806.5;12652719.2;46298109.7;64682635.5
20;5804743.5;2167230.6;13335902.9;21307877.0
21;5778051.9;6448105.4;24939682.4;37165839.7
22;5730725.6;13017812.3;46510386.8;65258924.7
23;5764719.4;8065349.2;31249049.8;45079118.4
24;5802911.9;2293125.9;14007227.5;22103265.3
25;5797051.0;3298268.9;16558515.6;25653835.6
26;5800503.2;3142288.0;14681996.7;23624787.9
27;5788469.3;4961411.9;20050729.7;30800610.9
28;5253506.0;9433621.0;33983114.7;48670241.6
29;5786651.7;5023511.9;20975128.9;31785292.6
30;5796745.3;3301497.4;16691195.7;25789438.4
31;5805908.0;1920760.2;12648740.0;20375408.2
32;5788400.0;3883955.3;21322924.2;30995279.5
33;5795290.9;4047763.6;17099613.2;26942667.8
34;5772555.3;6403076.4;27570614.3;39746246.0
35;5812556.5;1389577.6;9345860.3;16547994.4
36;5781559.1;5891823.5;22967159.7;34640542.3
37;5799736.1;3161237.6;15099494.9;24060468.6
38;5065967.9;7613929.0;27543685.4;40223582.2
39;5796723.1;3137687.5;16744448.7;25678859.3
40;5748235.2;11155475.8;38143423.6;55047134.6
41;5791595.7;3757365.5;18932886.5;28481847.8
42;5790496.3;3872398.1;19894028.7;29556923.1
43;5766670.2;7893983.1;30107658.9;43768312.3
44;5793469.3;3489818.9;18282773.2;27566061.4
45;5780211.2;5768209.9;24078406.9;35626828.1
46;5773916.5;6365455.1;27088435.9;39227807.5
47;5782506.5;5684757.3;23024147.4;34491411.1
48;5800540.3;3106781.0;14740432.5;23647753.9
49;5766602.3;8138915.6;30272019.2;44177537.0
50;5774483.2;6562027.9;26812828.4;39149339.5
51;5779905.4;5142872.7;24315204.9;35237983.1
52;5775289.1;7133745.3;26163395.1;39072429.5
53;5769709.4;6945280.5;28833698.0;41548687.9
54;5768451.9;7797175.9;29365048.2;42930676.0
55;5722189.2;14705351.9;49964626.4;70392167.4
56;5787226.2;4638735.8;20777737.0;31203699.0
57;5774503.4;6041663.4;26877683.6;38693850.4
58;5787206.1;4973377.5;20916586.5;31677170.0
59;5792042.7;4176107.6;18956780.8;28924931.1
60;5770145.1;8420325.4;28106895.7;42297366.1
61;5770831.8;6607793.5;28720611.0;41099236.3
62;5760234.5;9265701.2;33070417.6;48096353.3
63;5748924.9;10140098.8;38118932.7;54007956.4
64;5799094.9;2924055.5;15651591.4;24374741.8
65;5770211.3;6737112.5;28547475.0;41054798.8
66;5781715.0;5135704.9;23518957.9;34436377.7
67;5797294.3;3080759.1;16639350.9;25517404.3
68;5786045.4;5060139.2;21358315.6;32204500.3
69;5769551.2;6704459.5;29179236.8;41653247.5
70;5775537.0;5496173.8;26768677.9;38040388.6
71;5765064.2;8094877.5;30786131.1;44646072.8
72;5782073.3;5256156.7;23429355.2;34467585.2
73;5783557.5;5073688.5;22722544.2;33579790.2
74;5797768.5;3176094.2;16043652.1;25017514.9
75;5783920.6;4962529.1;22484174.7;33230624.4
76;5761310.8;9094366.9;32476313.7;47331991.5
77;5758683.6;10438592.9;32680286.6;48877563.2
78;5794535.9;3549625.4;17585614.6;26929776.0
79;5780911.2;5465744.5;23679618.5;34926274.2
80;5767866.8;6809277.0;30192005.5;42769149.3
81;5778894.6;5548030.1;25113223.4;36440148.1
82;5798299.1;3046375.6;15964033.4;24808708.1
83;5784480.2;5124219.0;22414570.0;33323269.2
84;5797098.9;3123164.8;16584554.7;25504818.4
85;5777304.2;6559706.1;25564020.0;37901030.2
86;5758823.7;8552052.9;33940892.2;48251768.9
87;5768628.7;7740517.2;29160565.3;42669711.3
88;5764920.9;8564490.1;30739562.4;45068973.4
89;5757753.5;9031208.2;34081369.9;48870331.6
90;5789784.5;4460328.7;19692040.6;29942153.8
91;5790773.1;4198578.5;19302604.5;29291956.1
92;5796393.3;3200046.0;17072729.2;26069168.5
93;5760313.3;8060520.1;33085414.5;46906247.9
94;5777730.9;6016734.6;25223739.0;37018204.5
95;5787841.9;4588212.0;20458768.9;30834822.8
96;5759445.9;8414983.6;33438619.1;47613048.6
97;5770477.2;7220234.9;28430366.7;41421078.7
98;5796580.4;3229435.0;16595270.3;25621285.7
99;5798850.6;3551327.2;15373847.5;24724025.3
100;5798576.8;3070354.6;15854796.0;24723727.4
101;5699303.6;76676224.5;38330976.5;120706504.7
