ID;IDLE;RECV;SEND;Total
1;5802836.5;3006453.6;13968854.6;22778144.7
2;5806680.3;2892709.9;12046618.6;20746008.7
3;5801328.6;4273537.4;14232115.0;24306981.0
4;5803757.6;3748279.1;13133859.8;22685896.5
5;5804150.5;3423177.9;12890407.5;22117735.9
6;5808004.0;1942959.8;11650829.8;19401793.6
7;5803928.5;4049347.8;12978130.4;22831406.7
8;5805589.7;2684810.5;12708564.0;21198964.2
9;5799614.6;5120431.7;14416333.2;25336379.6
10;5802833.7;3792794.4;13673179.2;23268807.3
11;5802093.4;2678172.7;14737454.4;23217720.6
12;5804588.6;2648914.2;13348800.0;21802302.8
13;5801838.1;4212863.9;13691802.3;23706504.3
14;5802330.1;4428750.9;13252959.6;23484040.6
15;5807346.1;2624618.2;11672474.3;20104438.7
16;5808242.5;1440368.0;11792642.3;19041252.8
17;5798347.7;6088856.0;14915400.0;26802603.6
18;5804452.5;2753961.3;13080570.1;21638984.0
19;5798876.1;4265606.3;15343703.8;25408186.1
20;5802843.3;2512953.4;14292149.0;22607945.6
21;5807339.3;2139273.2;12001584.7;19948197.2
22;5797839.7;6025967.4;15468519.7;27292326.8
23;5807590.8;2596576.0;11727358.8;20131525.6
24;5802452.8;3523194.1;13823159.2;23148806.2
25;5806125.3;3566593.2;11813756.8;21186475.4
26;5804127.1;3492364.2;12920394.5;22216885.8
27;5807727.0;3251979.8;11162906.9;20222613.7
28;5805230.7;2256174.5;12803109.6;20864514.7
29;5807848.7;2488051.8;11469006.3;19764906.8
30;5807806.9;1802683.1;11977742.1;19588232.0
31;5799221.1;4969157.6;14497236.8;25265615.6
32;5806167.8;2813686.7;12221292.7;20841147.2
33;5805009.5;3458545.2;12639257.6;21902812.3
34;5809219.9;1740914.8;11130678.5;18680813.3
35;5810333.0;1912630.7;10405809.3;18128773.1
36;5807999.6;3003352.0;11059913.9;19871265.5
37;5804889.1;3382406.8;12714351.8;21901647.7
38;5804061.1;2717756.8;13440515.8;21962333.7
39;5805705.5;2631009.4;12701423.1;21138137.9
40;5805011.7;3104795.2;12756454.2;21666261.1
41;5803882.7;4341312.1;12658387.4;22803582.2
42;5801293.9;3091488.3;14692034.0;23584816.2
43;5804525.3;3959322.2;12521712.7;22285560.1
44;5806081.4;2577081.9;12467324.8;20850488.2
45;5808724.3;2636578.7;11015273.4;19460576.4
46;5799048.7;4923222.5;15059197.3;25781468.5
47;5799900.1;4763292.9;14724117.4;25287310.5
48;5804658.9;2902352.1;13291045.8;21998056.7
49;5802660.5;3320970.4;13728405.4;22852036.3
50;5793869.2;6461360.4;17192050.6;29447280.2
51;5797824.3;6171583.3;15411243.7;27380651.3
52;5805232.4;2533193.8;12691480.7;21029907.0
53;5805524.8;3061737.1;12519749.6;21387011.5
54;5802323.7;3824021.9;13620161.2;23246506.8
55;5809562.3;1985149.2;10779290.3;18574001.8
56;5804455.9;2433285.0;13473444.2;21711185.0
57;5805754.6;2931034.3;12314411.8;21051200.7
58;5803959.7;3478611.5;12905224.3;22187795.5
59;5799760.9;5696087.0;14050869.8;25546717.6
60;5796647.1;5302511.5;16001693.0;27100851.7
61;5811139.1;1446557.3;10242584.0;17500280.4
62;5804410.4;3085436.7;13106460.9;21996308.0
63;5801505.1;5153719.0;13587921.1;24543145.2
64;5795749.4;5428075.0;16446231.9;27670056.3
