ID;IDLE;RECV;SEND;Total
1;5800537.9;2915516.1;15783364.8;24499418.9
2;5779935.8;6082708.8;25232971.5;37095616.0
3;5798576.7;3259794.9;16468666.3;25527038.0
4;5807952.5;2544568.7;11851826.4;20204347.6
5;5812816.5;2018780.7;9627507.2;17459104.4
6;5786218.5;5157876.8;22773157.5;33717252.7
7;5794706.3;3832259.3;18333421.5;27960387.1
8;5782761.4;5664611.4;22796015.2;34243388.0
9;5791188.0;3935683.2;19761198.7;29488069.9
10;5761284.0;7820430.6;34828830.1;48410544.7
11;5804798.0;2706877.1;13150683.1;21662358.2
12;5789191.9;4845447.0;20571659.3;31206298.2
13;5803985.7;2592077.7;13890775.8;22286839.2
14;5789385.7;4531668.9;20959868.8;31280923.4
15;5796419.4;3600716.3;17192730.6;26589866.3
16;5772137.1;6814841.7;29517762.9;42104741.7
17;5800102.6;3069354.0;15474437.4;24343894.0
18;5806214.8;2467112.7;13005502.7;21278830.2
19;5792969.3;3966135.6;19351199.7;29110304.6
20;5770919.7;7428508.2;30606615.7;43806043.6
21;5813612.0;1658562.0;8873352.6;16345526.5
22;5774866.2;6504132.3;27817946.3;40096944.7
23;5795638.6;4022602.7;17966258.2;27784499.5
24;5788347.4;4427219.6;21394085.4;31609652.4
25;5793554.4;4417208.0;18989877.5;29200639.9
26;5781835.3;5831375.9;24080361.7;35693572.9
27;5780824.6;6163218.6;25285101.2;37229144.5
28;5787674.4;4516973.6;21590950.7;31895598.7
29;5789581.2;4386175.7;20754356.0;30930113.0
30;5783435.0;5918499.8;23919929.4;35621864.2
31;5788280.9;4826241.6;21805220.9;32419743.4
32;5783687.9;6393483.0;23531498.3;35708669.1
33;5812580.4;1884684.1;9839849.3;17537113.7
34;5804185.1;1711983.0;13738787.7;21254955.7
35;5785408.2;5539399.3;22556255.8;33881063.3
36;5796939.6;4054440.4;17161387.0;27012767.1
37;5813593.8;1542721.9;9290049.2;16646364.9
38;5799251.7;3689450.6;15751683.0;25240385.3
39;4754984.0;8497818.8;33826363.7;47079166.5
40;5802529.7;2800440.4;14298960.0;22901930.1
41;5760968.3;9077547.6;34611031.9;49449547.8
42;5778781.2;6284501.0;26168836.2;38232118.4
43;3894488.8;7649331.7;27835986.1;39379806.6
44;5813243.7;1616275.5;9167213.2;16596732.4
45;5804661.1;2547870.1;13807522.4;22160053.6
46;5790507.3;4329696.3;20110307.1;30230510.8
47;5807529.1;2548645.2;12185889.6;20542064.0
48;5778786.2;5518912.3;25814884.9;37112583.4
49;5808997.2;2462602.6;10590870.8;18862470.6
50;5794761.3;3642326.8;18121387.7;27558475.8
51;5793098.5;4044712.9;19080693.4;28918504.8
52;5750854.7;10739013.4;39774178.9;56264047.0
53;5812436.4;1782238.7;8854016.2;16448691.3
54;5752554.7;10462307.9;38811011.8;55025874.4
55;5815566.5;1391206.5;7739089.3;14945862.3
56;5812456.4;1842898.9;9877878.8;17533234.2
57;5811132.3;1674131.1;10200636.5;17685899.9
58;5780525.9;5188289.1;25499359.8;36468174.7
59;5804949.4;3247737.9;13577998.7;22630686.0
60;5787411.1;5552357.3;21840745.7;33180514.1
61;5809080.8;1847820.0;11595665.3;19252566.1
62;5746795.1;11441443.4;41127198.5;58315437.1
63;5765247.5;7856328.0;31942722.1;45564297.5
64;5774657.4;8033994.8;27986321.1;41794973.3
65;5768678.6;7701740.2;30976375.4;44446794.1
66;5765150.1;8108048.2;33233249.7;47106447.9
67;5789871.3;4204695.9;20486312.8;30480880.0
68;5804430.7;2886304.8;13853962.8;22544698.3
69;5802640.1;2934307.0;14732065.0;23469012.0
70;5770935.0;6326245.1;29561145.3;41658325.3
71;5813933.6;1229946.0;9077318.8;16121198.4
72;5818267.4;1259436.2;6877645.5;13955349.2
73;5812627.7;1581188.2;9720597.8;17114413.8
74;5802661.7;2819100.8;14401326.4;23023089.0
75;5808433.5;2082796.3;11130958.5;19022188.3
76;5785827.4;3016628.0;22635671.2;31438126.6
77;5783433.3;2825794.6;23600191.4;32209419.2
78;5796632.2;3800217.6;17754734.3;27351584.1
79;5812689.6;1648546.8;9463691.9;16924928.3
80;5791138.8;5262868.9;19616553.1;30670560.9
81;5800782.9;3144039.7;14527393.8;23472216.3
82;5787785.7;4775210.3;21699933.1;32262929.1
83;5767635.0;8836428.7;30850096.3;45454160.0
84;5772489.9;6800418.2;29307220.7;41880128.7
85;5807750.1;2266063.8;11955742.6;20029556.5
86;5795616.3;3841157.7;17509120.6;27145894.6
87;5813992.1;1789949.5;8532933.3;16136874.9
88;5776344.3;8032327.9;27133879.7;40942551.8
89;5742819.2;12315017.1;42823507.2;60881343.5
90;5804292.4;3236204.3;13431981.7;22472478.4
91;5800098.4;3655637.8;15803421.2;25259157.3
92;5782530.6;5726058.6;24443507.1;35952096.2
93;5798908.0;3405898.8;16011595.3;25216402.2
94;5778494.8;5651532.6;25929460.1;37359487.5
95;5751744.6;4741000.9;40160065.3;50652810.7
96;5772686.9;6247282.0;29145526.8;41165495.7
97;5782724.6;6051220.8;24208132.3;36042077.7
98;5798215.0;3204226.3;15915718.3;24918159.5
99;5801982.7;3151992.4;14396633.5;23350608.7
100;5763980.3;4473221.5;34565218.1;44802420.0
101;5728646.8;76570474.1;38582328.0;120881449.0
