ID;IDLE;SEND;RECV;Total
1;5824550.7;3776067.4;0.0;9600618.1
2;5824481.6;3811627.1;0.0;9636108.7
3;5749187.7;42301406.1;7036964.8;55087558.6
4;5831892.0;0.0;0.0;5831892.0
5;5792550.8;19982713.2;2533203.1;28308467.1
6;5824597.0;3752258.1;0.0;9576855.1
7;5789543.8;21624185.7;6644181.4;34057911.0
8;5824199.0;3956957.6;0.0;9781156.6
9;5815002.2;8443985.5;1700588.0;15959575.8
10;5791312.4;20111703.6;5690481.7;31593497.7
11;5823394.6;4370712.9;0.0;10194107.5
12;2933970.1;69570623.9;23197187.4;95701781.4
13;5760471.6;35600219.6;8540522.9;49901214.2
14;5807091.7;12716841.5;2337731.1;20861664.3
15;5796167.7;18313881.8;3496700.1;27606749.6
16;5815539.3;8367694.8;1167713.4;15350947.5
17;5795173.6;18863720.1;2398209.0;27057102.7
18;5807080.1;12729102.0;2318581.2;20854763.3
19;5824293.8;3908205.8;0.0;9732499.6
20;5775945.4;28292645.5;6092472.8;40161063.6
21;5768940.4;31874767.2;7064485.1;44708192.7
22;5814983.6;8658052.4;1167233.1;15640269.2
23;5726817.0;53586584.1;8255211.8;67568613.0
24;1697324.4;26978721.9;18036883.0;46712929.2
25;5806659.1;12849604.9;2448031.6;21104295.6
26;5778607.7;27319346.1;5787065.5;38885019.4
27;5787425.5;22437076.1;5025068.9;33249570.4
28;5824598.7;3751374.8;0.0;9575973.6
29;5732238.9;50069374.2;16929273.0;72730886.1
30;5824560.1;3771239.5;0.0;9595799.6
31;5824319.0;3895250.4;0.0;9719569.5
32;5824574.1;3764060.2;0.0;9588634.3
33;5815920.7;8212027.0;1159832.0;15187779.7
34;5785808.5;23694448.7;3578662.1;33058919.2
35;5767873.6;32034649.5;7189031.5;44991554.6
36;5783972.3;23414113.4;6047353.9;35245439.5
37;5824562.9;3769814.6;0.0;9594377.5
38;5799471.0;16675019.0;2321063.3;24795553.3
39;5815674.9;8327622.2;1161901.1;15305198.1
40;2747357.1;36911528.5;8559311.2;48218196.8
41;5798870.3;16890472.5;2346819.6;25036162.4
42;5831892.0;0.0;0.0;5831892.0
43;5805510.7;13440327.5;2353963.9;21599802.0
44;5775090.5;28669471.1;6471985.3;40916546.9
45;5815891.4;8228207.1;1156294.3;15200392.8
46;5733919.4;49729884.8;7701703.7;63165507.9
47;5815626.6;8317499.8;1170215.0;15303341.4
48;5758940.0;36544371.9;8391334.9;50694646.8
49;5815333.2;8508964.0;1203921.5;15528218.7
50;5824417.6;3844540.5;0.0;9668958.1
51;5814911.7;8734008.2;0.0;14548919.9
52;5766663.1;32297581.6;7557552.8;45621797.5
53;5824522.2;3790729.2;0.0;9615251.4
54;4166132.0;64449301.1;24955290.4;93570723.5
55;5777133.5;27960015.4;6032294.4;39769443.3
56;5815671.1;8319964.6;1161461.9;15297097.6
57;5824407.5;3849745.0;0.0;9674152.5
58;5760666.2;35941870.5;7925946.7;49628483.4
59;2793091.8;32548434.8;9210597.4;44552124.0
60;2793488.3;55639032.2;13708206.8;72140727.4
61;4850311.6;35127838.5;8270040.6;48248190.8
62;5330417.5;33102386.1;7951938.3;46384741.9
63;5777037.0;27944658.6;5979780.0;39701475.6
64;5752973.1;39896794.9;12015482.2;57665250.1
65;5779140.3;26964321.6;5901275.7;38644737.6
66;5824549.8;3776530.6;0.0;9601080.5
67;5811969.3;10231910.0;1200418.7;17244298.1
68;5824124.0;3995553.7;0.0;9819677.7
69;5821163.1;5518508.1;0.0;11339671.2
70;5788962.2;21991335.6;4679733.5;32460031.3
71;2864094.4;34063231.7;9942411.8;46869737.9
72;5780399.1;26391747.2;5836460.3;38008606.6
73;5824439.4;3833341.6;0.0;9657781.0
74;5831892.0;0.0;0.0;5831892.0
75;5757899.6;37581104.8;11636673.9;54975678.3
76;5815249.3;8551383.1;1163368.7;15530001.1
77;5824460.6;3822401.1;0.0;9646861.7
78;5815902.1;8216996.6;1167254.7;15200153.3
79;4446553.3;39521509.1;9731072.9;53699135.3
80;1826716.8;26820716.0;11409087.3;40056520.2
81;5787552.0;22610367.1;4691379.1;33089298.1
82;5806317.5;13105829.3;2423959.7;21336106.5
83;5731425.8;50457957.0;10828785.8;67018168.6
84;5805991.0;13257784.1;2355347.7;21419122.8
85;5806617.7;12986719.5;2319362.0;21112699.3
86;5806035.2;13283523.2;2326290.0;21415848.3
87;5824508.6;3797753.5;0.0;9622262.1
88;5690512.8;70136897.3;18514153.0;94341563.1
89;5778421.2;26612266.8;6232617.0;38623305.1
90;5824469.6;3817786.5;0.0;9642256.1
91;5795701.1;18500591.4;3664925.6;27961218.1
92;5536308.2;44981476.4;9754800.2;60272584.7
93;5824514.1;3794888.8;0.0;9619402.9
94;5824480.6;3812125.4;0.0;9636606.0
95;5760348.6;36027578.5;8470112.1;50258039.2
96;5814430.0;8909570.6;1177524.6;15901525.3
97;5824528.2;3787657.9;0.0;9612186.1
98;5824524.6;3789487.7;0.0;9614012.3
99;5795611.6;18368206.3;5351953.0;29515771.0
100;4005264.8;31509132.1;7584361.2;43098758.0
101;5800900.0;13705364.3;24457904.7;43964169.1
