ID;IDLE;RECV;SEND;Total
1;5800407.9;2860883.4;14907885.7;23569177.0
2;5754641.5;8251542.1;36019699.3;50025882.9
3;5803291.5;2428317.7;13583151.5;21814760.7
4;5801428.9;2715766.3;14377695.4;22894890.6
5;5649275.6;7835040.6;33641787.2;47126103.4
6;5802339.0;2640170.3;14163711.8;22606221.2
7;5789675.8;4798111.1;19330148.5;29917935.4
8;5795539.7;3433782.8;17158004.0;26387326.6
9;5790828.8;3847845.3;19570289.4;29208963.6
10;5777995.9;6467722.3;25137236.0;37382954.1
11;5806011.2;2318643.4;12501034.8;20625689.3
12;5800693.9;2998225.0;14842848.9;23641767.8
13;5797682.2;3065196.2;16836799.5;25699677.9
14;5805939.6;2208476.4;12051593.1;20066009.0
15;5786503.5;4637308.8;21706097.5;32129909.8
16;5784542.1;4811827.3;22406752.4;33003121.9
17;5809304.3;1639636.0;10825514.0;18274454.3
18;5782788.1;5686124.7;22572974.1;34041886.9
19;5797983.6;3428151.4;15912240.3;25138375.2
20;5732877.6;11972202.7;45368059.4;63073139.7
21;5804830.6;2285834.7;12704324.4;20794989.8
22;5799588.8;2924927.7;15491667.3;24216183.9
23;5801942.8;2658730.5;14366143.2;22826816.6
24;5805624.4;2246734.1;12560098.9;20612457.4
25;5757432.6;9137841.1;33524187.2;48419460.9
26;5752501.5;7891149.2;29990799.0;43634449.7
27;5808462.6;2233640.9;10993590.5;19035694.1
28;5781999.4;5342799.3;23685699.5;34810498.2
29;5800046.3;2757579.1;14808149.0;23365774.5
30;5778187.5;6489000.9;24589367.5;36856555.8
31;5787735.9;4861691.0;20009830.5;30659257.4
32;5785684.9;5083197.2;21817384.7;32686266.8
33;5777281.8;5427320.4;26264806.6;37469408.8
34;5767368.1;7087132.7;30385599.5;43240100.3
35;5775987.3;6558163.0;25803916.0;38138066.3
36;5802897.3;2634906.7;13925612.3;22363416.2
37;5799440.0;3688908.7;15028057.0;24516405.8
38;5792660.2;3992323.4;18566548.2;28351531.7
39;5809848.8;1818927.6;10545367.0;18174143.5
40;5778110.3;6199701.0;25089982.4;37067793.7
41;5787321.8;4396726.7;20918153.0;31102201.5
42;5801781.3;2873212.7;14391955.7;23066949.7
43;5776935.0;6488700.4;25993403.7;38259039.1
44;5793980.2;3772124.0;16954086.1;26520190.3
45;5789692.1;3765802.7;20070369.4;29625864.2
46;5801581.1;2678919.6;14373075.9;22853576.6
47;5777975.9;5867532.7;25172532.5;36818041.1
48;5781235.3;5595602.3;23138187.6;34515025.3
49;5789007.0;4146983.6;20394243.7;30330234.3
50;5799668.4;3005491.5;15147910.1;23953069.9
51;5779017.7;6207153.5;23382789.8;35368961.0
52;5775019.8;6568066.7;26255209.2;38598295.7
53;5791635.9;3998181.9;18560290.5;28350108.3
54;5782889.5;5311947.8;23041227.3;34136064.6
55;5801823.2;2620943.9;14072622.6;22495389.6
56;5754231.5;10050237.5;35712760.0;51517229.0
57;5780705.1;6267324.2;23239569.1;35287598.4
58;5787504.4;4716396.2;21164295.0;31668195.6
59;5758814.4;8510724.5;33882334.8;48151873.6
60;5778397.9;5792694.9;25328715.2;36899808.0
61;5792500.4;3496788.0;18908577.3;28197865.7
62;5773312.4;6489173.5;27415943.1;39678429.0
63;5781739.5;6075885.1;22503001.1;34360625.7
64;5803311.9;2722164.1;13159588.9;21685064.9
65;5800775.8;3113688.0;14701051.4;23615515.2
66;5796917.0;3140178.3;16638041.0;25575136.3
67;5793849.5;3663827.9;18034806.3;27492483.7
68;5802728.3;2807050.4;13650023.2;22259801.9
69;5807147.4;2346473.9;11765606.7;19919228.0
70;5792716.2;4047339.8;18334316.4;28174372.4
71;5786974.0;4806271.4;20692517.2;31285762.5
72;5763775.0;7609246.3;31920262.7;45293283.9
73;5791682.4;4955482.0;18537852.7;29285017.1
74;5790160.5;4129578.2;19070176.1;28989914.7
75;5790137.1;4108224.6;19432323.2;29330684.9
76;5806696.7;1817921.3;12483823.2;20108441.2
77;5788027.3;4140875.5;21172477.5;31101380.3
78;5770651.8;7626299.9;28304534.3;41701485.9
79;5780362.7;6085415.4;24182171.5;36047949.6
80;5794305.8;4048563.9;17783448.1;27626317.9
81;5771974.6;6824637.0;28039112.5;40635724.1
82;5789599.1;4527750.5;19853007.8;30170357.4
83;5779273.0;6333295.3;23094727.0;35207295.3
84;5782225.4;4843680.5;23142755.5;33768661.4
85;5809361.2;1913122.8;10966384.9;18688869.0
86;5791119.4;4423505.2;19352871.2;29567495.8
87;5800079.2;4062971.6;14819126.3;24682177.1
88;5793289.2;4238517.4;17710380.5;27742187.1
89;5771575.2;7653333.7;27682644.8;41107553.7
90;5759312.6;8538789.3;34018576.1;48316678.0
91;5802453.2;2608385.0;14293105.5;22703943.7
92;5799728.9;2890255.5;15410547.1;24100531.5
93;5782117.4;5383772.8;22884333.0;34050223.2
94;5749561.5;9764796.9;39193193.6;54707552.0
95;5791133.7;4352738.4;19011505.3;29155377.4
96;5792605.6;3831779.5;18578646.9;28203032.0
97;5798924.5;3098565.8;15872017.6;24769507.9
98;5799009.0;2881346.3;15504557.7;24184913.0
99;5788799.6;5009196.3;19871977.6;30669973.5
100;5778643.3;5095021.1;25056332.4;35929996.8
101;5672208.6;90950370.4;45192235.3;141814814.4
