ID;IDLE;RECV;SEND;Total
1;5812168.4;1331674.8;9574800.8;16718643.9
2;5721209.4;12659019.5;51426500.2;69806729.1
3;5805466.4;1967755.0;12902129.7;20675351.1
4;5799992.6;2814027.7;14985832.9;23599853.3
5;5768931.8;6659660.6;29477482.0;41906074.4
6;5816140.7;969755.7;7768919.7;14554816.2
7;5790221.7;3994116.1;19855359.3;29639697.1
8;5810360.6;1593795.9;10280601.8;17684758.4
9;5803888.7;2449279.4;13637292.8;21890460.8
10;5803341.9;2551999.0;13680128.5;22035469.5
11;5759929.0;8875286.4;33299434.7;47934650.0
12;5792301.9;4249562.5;18413570.1;28455434.6
13;5794328.7;3837580.5;17581798.3;27213707.5
14;5803594.8;2366761.1;13721719.4;21892075.3
15;5766141.7;7354036.2;28023822.3;41144000.2
16;5787822.4;4286126.7;20582556.5;30656505.6
17;5787342.5;5131674.0;20884036.4;31803053.0
18;5809077.4;1871119.9;10907262.5;18587459.8
19;5784801.4;4921806.8;22296198.5;33002806.6
20;5792453.3;3894423.0;18617704.7;28304581.1
21;5780583.0;5150715.6;23391210.6;34322509.2
22;5807212.8;1783690.4;12240780.8;19831684.0
23;5771131.0;6842514.6;28797761.6;41411407.2
24;5796150.9;3077084.8;17273549.1;26146784.8
25;5778999.2;5372050.7;25478190.3;36629240.2
26;5805673.2;2263406.0;12356462.6;20425541.8
27;5806975.9;2094163.5;11817156.5;19718295.9
28;5790910.0;3871310.1;19687131.1;29349351.2
29;5784189.4;3429212.6;23253089.5;32466491.5
30;5787249.0;5848124.9;20402406.2;32037780.2
31;5728402.7;4562823.4;51396588.2;61687814.3
32;2471585.7;10270429.1;36332111.4;49074126.3
33;5810506.3;1665753.0;10206870.9;17683130.2
34;5787677.9;4645980.2;20491199.0;30924857.1
35;5766715.9;7071048.9;30759103.8;43596868.6
36;5804015.9;2251144.5;13259513.9;21314674.3
37;5800159.0;2942324.0;15270081.2;24012564.1
38;5801231.1;2664862.3;14567689.8;23033783.2
39;5756259.3;8877072.4;35496821.6;50130153.3
40;5802822.5;2688398.0;13883653.2;22374873.7
41;5788238.1;4301296.1;20974650.7;31064184.8
42;5772634.2;6397809.7;28123279.1;40293722.9
43;5797099.0;3092803.9;16434384.7;25324287.6
44;5776703.5;3034975.5;27418281.2;36229960.3
45;5797008.9;3441261.5;16863718.5;26101988.8
46;5780738.7;5799827.3;23785966.2;35366532.2
47;5807823.4;1981312.0;11525062.4;19314197.8
48;5808435.9;1897920.0;11057525.8;18763881.7
49;5797983.4;3178322.0;15992737.2;24969042.6
50;5801727.2;2570809.4;14298015.1;22670551.7
51;5799229.0;2998997.0;15595442.0;24393668.0
52;5797189.0;3251530.9;16740029.2;25788749.1
53;5802773.3;2600682.4;13682176.6;22085632.3
54;5795002.2;3314774.4;17351188.0;26460964.6
55;5786320.0;5717380.0;20005937.5;31509637.5
56;5796840.8;3827888.9;16442818.9;26067548.6
57;5789108.9;4519831.7;19975608.9;30284549.5
58;5797774.6;2893634.5;16359375.6;25050784.6
59;5808258.9;1808440.4;11521751.0;19138450.3
60;5799885.5;2689589.2;15148776.6;23638251.4
61;5782459.9;5617921.6;23245005.3;34645386.8
62;5764111.1;7772163.4;31189394.1;44725668.6
63;5802354.8;2689395.6;14030253.5;22522003.8
64;5793677.8;4085438.8;18059797.2;27938913.8
65;5747908.8;9592644.4;38997971.5;54338524.7
66;5749303.0;9772600.2;39074240.5;54596143.6
67;5744200.9;10120161.9;39943315.3;55807678.1
68;5795557.7;3516252.3;16882811.6;26194621.6
69;5785398.8;5206169.7;21714006.7;32705575.2
70;5800524.9;2709832.3;14810113.8;23320471.0
71;5805903.6;2082155.8;12430711.8;20318771.2
72;5762788.6;8501172.1;30553871.0;44817831.6
73;5784494.7;4940528.3;22592027.2;33317050.3
74;5799760.9;2957866.3;15056644.2;23814271.4
75;5727071.4;12260345.3;49757063.8;67744480.5
76;5798372.5;3134683.5;15547543.4;24480599.4
77;5787351.0;4332097.8;20483978.1;30603426.8
78;5795991.4;2128110.9;17707850.7;25631953.0
79;5803260.6;2603419.8;13569351.3;21976031.7
80;5796187.3;3606373.0;16876195.5;26278755.8
81;5789275.4;4189575.7;19945531.9;29924383.0
82;5794150.0;3853467.5;17929876.8;27577494.4
83;5792275.9;4729918.3;18429576.9;28951771.0
84;5804873.5;2305409.0;12878363.7;20988646.2
85;5808251.0;1804535.9;11343948.8;18956735.7
86;4338525.5;25349424.7;92283924.0;121971874.2
87;5782456.5;5139005.3;22457119.1;33378580.8
88;5806408.2;2182513.5;12255967.6;20244889.4
89;5761568.2;7549382.2;32455165.8;45766116.3
90;5791816.8;4298861.8;18557309.1;28647987.7
91;5812565.4;1174618.8;9411807.1;16398991.2
92;5805830.7;2149783.5;12334076.5;20289690.6
93;5786861.3;4437636.0;20904687.7;31129184.9
94;5789487.6;4348919.7;19213886.8;29352294.0
95;5801783.0;2649416.0;13806924.2;22258123.2
96;5802736.6;2513669.9;13827027.2;22143433.7
97;5796364.1;3245419.1;16808345.7;25850128.9
98;5757196.1;9048329.6;34370824.2;49176350.0
99;5781402.1;5774562.6;23307817.3;34863782.0
100;5800571.5;3201200.7;14739740.9;23741513.1
101;5661201.9;101636771.9;51791981.9;159089955.7
