ID;IDLE;RECV;SEND;Total
1;5803264.2;3071377.3;12332851.6;21207493.1
2;5798964.1;4260189.5;13537536.1;23596689.8
3;5800816.1;3396034.2;13245330.3;22442180.6
4;5809047.0;2200626.3;10216513.2;18226186.6
5;5799697.6;4604049.2;12873352.5;23277099.4
6;5807143.4;2391433.1;11254034.5;19452610.9
7;5799856.7;4728181.0;12354149.5;22882187.2
8;5806800.9;2253041.5;10979813.6;19039656.0
9;5808982.7;1815364.8;10370019.6;17994367.0
10;5809534.9;1921466.0;10121974.4;17852975.3
11;5807018.0;2438591.3;10805221.0;19050830.3
12;5801902.6;4167861.0;11872765.9;21842529.6
13;5805509.4;2436142.6;11819587.9;20061239.9
14;5805066.4;2750095.9;12044633.7;20599796.0
15;5804827.6;3467705.1;11310860.5;20583393.1
16;5798313.0;4295326.6;13610617.1;23704256.8
17;5798235.2;4177212.5;13789502.6;23764950.4
18;5804573.7;2937312.5;11439640.9;20181527.1
19;5800905.8;3501287.3;13298086.7;22600279.8
20;5808650.5;2375870.7;10448121.8;18632643.0
21;5794617.5;4775209.8;15973814.1;26543641.4
22;5799062.7;4118997.9;13513630.2;23431690.8
23;5793756.0;5091928.7;15402819.6;26288504.3
24;5801612.5;3065870.2;12917686.4;21785169.2
25;5804476.9;3173056.3;11330220.2;20307753.4
26;5803821.2;3028812.4;12171409.4;21004043.0
27;5802088.0;3081150.1;12767824.8;21651062.8
28;5805092.3;3144484.0;11435556.3;20385132.6
29;5801507.9;3346549.5;13094757.1;22242814.4
30;5801208.8;3556902.7;12869369.6;22227481.1
31;5798023.1;5497914.6;13050428.2;24346365.9
32;5804064.6;2715630.1;12013735.2;20533430.0
33;5807114.0;2044019.8;11072152.7;18923286.5
34;5802192.2;3399770.7;13084768.1;22286730.9
35;5801497.5;3537678.3;12885126.4;22224302.2
36;5798159.8;4678643.9;13282851.6;23759655.3
37;5803693.7;3113061.8;12224449.1;21141204.6
38;5805448.5;2674129.6;12070226.2;20549804.2
39;5801281.5;4222378.7;12364358.4;22388018.6
40;5801813.2;3508441.3;12446916.9;21757171.3
41;5804822.2;3140724.9;11456472.6;20402019.6
42;5796394.9;4065234.3;16005790.9;25867420.2
43;5809270.1;1828416.8;10410743.8;18048430.7
44;5801038.8;3825671.4;12601776.4;22228486.5
45;5797752.4;4307823.4;14161340.4;24266916.2
46;5810509.9;1561292.9;9893260.6;17265063.4
47;5800158.1;3640733.4;13511468.7;22952360.2
48;5804867.1;2643094.2;12301384.7;20749346.1
49;5804190.1;3145403.0;11892895.6;20842488.7
50;5801038.4;3756019.7;12411643.7;21968701.8
51;5804524.1;3013169.9;11974477.4;20792171.4
52;5806050.1;2734537.6;11284689.8;19825277.5
53;5806294.9;2649768.4;11345367.0;19801430.3
54;5798388.8;3891875.2;14866791.5;24557055.5
55;5798050.6;4232040.5;13608365.7;23638456.8
56;5808771.7;1775778.2;10680123.5;18264673.5
57;5807641.4;2320822.4;10658802.3;18787266.1
58;5807178.7;2118565.3;11235371.4;19161115.3
59;5807651.5;2145781.5;10601204.8;18554637.7
60;5799923.8;3495233.1;14034753.1;23329910.0
61;5803794.8;3147164.9;12109895.6;21060855.3
62;5801818.8;4366507.5;12213113.6;22381439.9
63;5796551.7;4648501.8;14856165.9;25301219.4
64;5807745.4;2368168.1;10476100.6;18652014.0
65;5801872.8;3289860.0;13586986.2;22678718.9
66;5805157.9;2670693.1;11865665.0;20341515.9
67;5801183.0;3469017.0;12714826.7;21985026.7
68;5799960.3;3965973.8;13307444.1;23073378.2
69;5800174.3;4684631.9;12588409.4;23073215.5
70;5802843.2;3376631.5;12396020.3;21575494.9
71;5806996.3;2390825.9;11451163.1;19648985.3
72;5798573.5;4075641.5;14107932.4;23982147.3
73;5804077.1;3170244.4;11783186.6;20757508.1
74;5806345.5;2395899.5;11300731.5;19502976.5
75;5799779.5;4686755.4;12819477.9;23306012.9
76;5797402.6;4523387.3;14472222.6;24793012.6
77;5801078.3;3577919.3;13140657.5;22519655.1
78;5799847.0;3925753.8;13172640.9;22898241.7
79;5803696.0;2801543.3;12566794.9;21172034.1
80;5805716.7;2574471.4;11567374.8;19947562.9
81;5801781.4;3835578.7;12050296.5;21687656.6
82;5804738.7;2877315.4;12059798.9;20741853.0
83;5806762.9;2651398.8;10778555.4;19236717.1
84;5804374.7;2753422.0;11954031.1;20511827.7
85;5802342.3;3652295.3;12068161.4;21522798.9
86;5809733.5;2074000.1;9942110.7;17825844.3
87;5800880.8;4002175.2;12835431.3;22638487.4
88;5810531.5;1572862.5;9860045.6;17243439.6
89;5803943.5;3762965.7;11935544.7;21502453.8
90;5798549.1;4591383.9;13963181.9;24353114.9
91;5802803.3;3023579.1;13159678.9;21986061.3
92;5802519.5;3472798.2;12443328.9;21718646.6
93;5796766.7;4539590.3;14462735.2;24799092.3
94;5799778.0;4297362.3;13178088.7;23275229.0
95;5805677.9;2844887.5;11298546.7;19949112.0
96;5803233.1;3261525.5;12538794.3;21603552.9
97;5799930.2;4142501.3;13526685.5;23469117.0
98;5796957.5;4231675.3;14907692.4;24936325.2
99;5807832.4;2331807.4;10788682.7;18928322.5
100;5804393.0;3353915.1;11780028.5;20938336.6
101;5804547.7;3233335.9;11762055.3;20799938.9
102;5807528.3;2573873.5;10517544.8;18898946.7
103;5804435.8;2935968.7;12059045.6;20799450.2
104;5803353.0;3495596.8;12341812.4;21640762.1
105;5809370.5;1765900.7;10353189.6;17928460.7
106;5806284.5;2707567.5;11067843.1;19581695.0
107;5805650.5;2697691.0;11503594.5;20006936.0
108;5793519.4;4918244.9;16580163.5;27291927.8
109;5800979.8;4069779.9;12734674.7;22605434.4
110;5798501.4;4689169.2;13159337.3;23647007.9
111;5801637.3;3571533.3;12947475.1;22320645.7
112;5799337.5;4503629.2;13297995.1;23600961.8
113;5799564.9;5055098.5;12597483.5;23452146.9
114;5797106.0;4212231.5;14566211.6;24575549.0
115;5804981.9;3541360.3;11307070.8;20653413.1
116;5804658.8;2364497.3;12395815.3;20564971.5
117;5802584.0;2666354.0;13884591.4;22353529.4
118;5805011.2;2973086.1;11262665.3;20040762.5
119;5800803.0;3707833.1;13064780.1;22573416.2
120;5807478.8;2442309.3;10685876.3;18935664.4
121;5804984.7;2935531.1;11616089.9;20356605.8
122;5805305.9;3426890.3;10897121.8;20129318.0
123;5800289.4;4129369.1;12525360.7;22455019.1
124;5800453.4;3481283.6;13479183.6;22760920.6
125;5801917.1;3011118.8;13014640.1;21827676.0
126;5802884.0;3550016.3;12394665.4;21747565.7
127;5805975.4;2623519.0;11474687.4;19904181.7
128;5798114.6;3960860.6;14497885.1;24256860.3
129;5805631.4;2733087.0;11123182.6;19661901.0
130;5805864.6;3005754.5;10930920.1;19742539.2
131;5802095.3;3650089.0;12422182.7;21874367.0
132;5805002.0;2618087.3;11996500.2;20419589.6
133;5799841.2;4348460.5;13295058.7;23443360.4
134;5803337.9;3137924.8;12357832.4;21299095.2
135;5807236.1;2541386.5;10516149.9;18864772.5
136;5802315.9;3546788.4;12516238.3;21865342.5
137;5805863.9;2987374.0;11139144.3;19932382.3
138;5808143.8;1854184.4;11044503.8;18706832.0
139;5798471.8;4620527.4;13646186.9;24065186.1
140;5806710.4;2441966.1;10928322.1;19176998.6
141;5800030.9;4782906.7;12667926.4;23250864.0
142;5807423.9;2277380.6;10623320.9;18708125.5
143;5804410.2;3463265.9;11577842.1;20845518.2
144;5802547.1;3568124.0;11926232.3;21296903.3
145;5799383.8;3763256.4;14106887.5;23669527.7
146;5804099.9;3006349.3;11523712.5;20334161.7
147;5806749.3;2366025.5;11242892.3;19415667.1
148;5800893.1;3601711.9;13037651.1;22440256.1
149;5793894.0;4350022.0;16822160.9;26966077.0
150;5802878.9;3608048.6;12257907.4;21668835.0
151;5806815.4;2201077.4;11552762.9;19560655.7
152;5797630.9;3763586.2;15323915.8;24885132.9
153;5798047.9;3857416.7;14865450.0;24520914.5
154;5800147.6;4715699.1;12518916.3;23034763.0
155;5803287.6;3450118.8;11621954.4;20875360.8
156;5805095.9;2964422.9;11302344.7;20071863.4
157;5808986.7;2026323.6;10390675.8;18225986.1
158;5800883.6;4097389.0;12366599.9;22264872.5
159;5808554.4;2123010.1;10486936.2;18418500.7
160;5806291.0;2697695.6;11201353.1;19705339.7
161;5803601.7;2821216.1;12679087.0;21303904.8
162;5801835.8;3464551.1;13058182.4;22324569.3
163;5802390.9;3847011.1;12305314.3;21954716.3
164;5801374.3;3348368.9;13383333.2;22533076.5
165;5799628.9;3721119.9;14125689.0;23646437.7
166;5803103.8;3181635.7;12326982.2;21311721.7
167;5801997.9;3475743.6;12404457.8;21682199.3
168;5807547.6;2416934.1;10845647.0;19070128.7
169;5807213.8;2682066.9;10256710.9;18745991.6
170;5799796.9;4392899.8;12836586.2;23029282.9
171;5799707.8;3886054.7;13575152.3;23260914.9
172;5803913.1;2945779.5;12207570.8;20957263.3
173;5809688.8;1624039.7;10454877.7;17888606.3
174;5801995.2;3639658.3;12495512.0;21937165.5
175;5806938.2;2308816.2;10940452.5;19056206.8
176;5808963.2;1924954.9;10683256.6;18417174.6
177;5803588.2;3656086.2;11598385.0;21058059.5
178;5805783.9;2529384.9;11596793.5;19931962.3
179;5805645.3;2492334.3;11857795.8;20155775.4
180;5799574.6;4341063.5;13384416.4;23525054.5
181;5799654.0;3865463.4;13396083.6;23061201.0
182;5801804.0;3479022.4;12226478.9;21507305.4
183;5808315.1;1824888.4;10841199.1;18474402.5
184;5802076.2;3898014.7;11814160.1;21514251.0
185;5807712.0;2084983.0;11134151.5;19026846.5
186;5800127.1;3917809.3;13524539.1;23242475.4
187;5798805.8;3996151.3;13633368.2;23428325.4
188;5801574.9;3712325.7;12854399.4;22368300.0
189;5808190.8;1902243.1;10617854.8;18328288.7
190;5805964.9;2211084.8;11823500.9;19840550.6
191;5798769.1;4414882.1;13860477.1;24074128.4
192;5806731.5;2459454.8;11348561.7;19614748.0
193;5803711.0;3236515.6;12329995.2;21370221.7
194;5802313.3;2961926.4;13466533.2;22230772.9
